,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,1,0,major,0,rest,,,,,,,,0.125,0
1,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,2,,,,rest,,,,,,,,0.25,1.0
2,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,2,,,,rest,,,,,,,,0.125,3.0
3,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,2,,,,note,Ab5,Ab,A,-1.0,5,80.0,8.0,0.09375,4.0
4,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.03125,4.75
5,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,5.0
6,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,7.0
7,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.09375,8.0
8,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,3,,,,note,F5,F,F,0.0,5,77.0,5.0,0.03125,8.75
9,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,4,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,9.0
10,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,10.0
11,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,4,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,11.0
12,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,4,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,12.0
13,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,5,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.1875,13.0
14,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,5,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,14.5
15,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,5,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,15.0
16,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,16.0
17,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,6,,,,rest,,,,,,,,0.25,17.0
18,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,6,,,,rest,,,,,,,,0.125,19.0
19,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.09375,20.0
20,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,6,,,,note,F5,F,F,0.0,5,77.0,5.0,0.03125,20.75
21,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,21.0
22,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,23.0
23,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,7,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.09375,24.0
24,..\data\scores\Mendelssohn_Felix\06op80c.xml,Mendelssohn_Felix,06op80c,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.03125,24.75
