,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.5,0
1,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.25,1.2765930285254712
2,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,rest,,,,,,,,0.125,0.0
3,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,A#4,A#,A,1,4,70,10,0.125,0.3191482571313678
4,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,B4,B,B,0,4,71,11,0.125,0.6382965142627356
5,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.9574447713941034
6,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,D5,D,D,0,5,74,2,0.125,1.2765930285254712
7,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,E5,E,E,0,5,76,4,0.125,1.595741285656839
8,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,rest,,,,,,,,0.125,-2.220446049250313e-16
9,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.125,0.3191482571313676
10,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.6382965142627354
11,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,A#4,A#,A,1,4,70,10,0.125,0.9574447713941032
12,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,B4,B,B,0,4,71,11,0.125,1.276593028525471
13,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,1,2,major,0,note,C#5,C#,C,1,5,73,1,0.125,1.5957412856568387
14,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,F#5,F#,F,1,5,78,6,0.5,1.9148895427882064
15,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,C5,C,C,0,5,72,0,0.125,3.191482571313678
16,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,A5,A,A,0,5,81,9,0.125,3.191482571313678
17,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,B4,B,B,0,4,71,11,0.125,3.510630828445046
18,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,G5,G,G,0,5,79,7,0.125,3.510630828445046
19,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,C#5,C#,C,1,5,73,1,0.125,1.9148895427882069
20,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,D5,D,D,0,5,74,2,0.125,2.234037799919575
21,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,A#4,A#,A,1,4,70,10,0.125,2.553186057050943
22,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,B4,B,B,0,4,71,11,0.125,2.8723343141823108
23,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,A#4,A#,A,1,4,70,10,0.125,1.9148895427882076
24,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,B4,B,B,0,4,71,11,0.125,2.2340377999195753
25,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,F#4,F#,F,1,4,66,6,0.125,2.5531860570509433
26,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,G4,G,G,0,4,67,7,0.125,2.872334314182311
27,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,D#4,D#,D,1,4,63,3,0.125,3.191482571313679
28,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,2,,,,note,E4,E,E,0,4,64,4,0.125,3.510630828445047
29,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,A4,A,A,0,4,69,9,0.125,3.829779085576415
30,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,F#5,F#,F,1,5,78,6,0.125,3.829779085576415
31,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,G4,G,G,0,4,67,7,0.125,4.148927342707783
32,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,E5,E,E,0,5,76,4,0.125,4.148927342707783
33,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,F#4,F#,F,1,4,66,6,0.125,4.468075599839151
34,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,D5,D,D,0,5,74,2,0.125,4.468075599839151
35,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,D4,D,D,0,4,62,2,0.125,4.7872238569705186
36,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,A4,A,A,0,4,69,9,0.125,4.7872238569705186
37,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,A3,A,A,0,3,57,9,0.125,5.1063721141018865
38,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,F#4,F#,F,1,4,66,6,0.125,5.1063721141018865
39,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,D4,D,D,0,4,62,2,0.125,5.4255203712332545
40,data\scores\Alkan\1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl,Alkan,1017016-Esquisse_Opus_63_No._3_in_D_Major,3,,,,note,A4,A,A,0,4,69,9,0.125,5.4255203712332545
