,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.125,0
1,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.25,0.42857020408513113
2,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.125,1.2857106122553934
3,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,1,-2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,0.0
4,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,1,-2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.375,0.42857020408513113
5,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,2,,,,rest,,,,,,,,0.25,1.7142808163405245
6,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.25,1.7142808163405245
7,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,2.571421224510787
8,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.375,2.999991428595918
9,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,3,,,,rest,,,,,,,,0.125,4.285702040851311
10,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,3,,,,rest,,,,,,,,0.125,4.714272244936442
11,data\scores\Alkan\1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl,Alkan,1049651-Esquisse_Opus_63_No._4_in_G_Minor,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,5.142842449021574
