,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,1,2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,1,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.25,0.0
2,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,1,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.25,0.3015075376884422
3,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,1,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.25,0.6030150753768844
4,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.75,0.9045226130653266
5,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,0.9045226130653266
6,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.75,0.9045226130653266
7,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,0.9045226130653266
8,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,1.2060301507537687
9,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,2,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,1.507537688442211
10,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,1.809045226130653
11,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,2.1105527638190953
12,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.75,1.809045226130653
13,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.75,1.809045226130653
14,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,1.809045226130653
15,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,2.1105527638190953
16,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,3,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,2.4120603015075375
17,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,2.7135678391959797
18,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,3.316582914572864
19,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,3.467336683417085
20,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,B3,B,B,0.0,3,59.0,11.0,0.5,2.7135678391959797
21,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,2.7135678391959797
22,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,G3,G,G,0.0,3,55.0,7.0,0.25,3.316582914572864
23,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,3.316582914572864
24,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,2.7135678391959797
25,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,3.015075376884422
26,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,4,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,3.316582914572864
27,data\scores\Beethoven\105462-Sonate_No._15_Pastoral_1st_Movement.mxl,Beethoven,105462-Sonate_No._15_Pastoral_1st_Movement,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,3.618090452261306
