,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,F3,F,F,0,3,53,5,0.25,0
1,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,0
2,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,D4,D,D,0,4,62,2,0.25,0
3,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,1.6216216216216217
4,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,E4,E,E,0,4,64,4,0.25,1.6216216216216217
5,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,A4,A,A,0,4,69,9,0.25,1.6216216216216217
6,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,D2,D,D,0,2,38,2,0.0625,0.0
7,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,D3,D,D,0,3,50,2,0.0625,0.40540540540540543
8,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,A2,A,A,0,2,45,9,0.0625,0.8108108108108109
9,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,D3,D,D,0,3,50,2,0.0625,1.2162162162162162
10,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,C#2,C#,C,1,2,37,1,0.0625,1.6216216216216217
11,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,C#3,C#,C,1,3,49,1,0.0625,2.027027027027027
12,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,A2,A,A,0,2,45,9,0.0625,2.4324324324324325
13,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,1,-1,major,0,note,C#3,C#,C,1,3,49,1,0.0625,2.8378378378378377
14,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,G4,G,G,0,4,67,7,0.125,3.243243243243243
15,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,F4,F,F,0,4,65,5,0.09375,4.0540540540540535
16,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,E4,E,E,0,4,64,4,0.03125,4.662162162162161
17,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,D4,D,D,0,4,62,2,0.125,4.864864864864864
18,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,D4,D,D,0,4,62,2,0.125,5.6756756756756745
19,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,A4,A,A,0,4,69,9,0.125,5.6756756756756745
20,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,D5,D,D,0,5,74,2,0.125,5.6756756756756745
21,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,A3,A,A,0,3,57,9,0.25,3.2432432432432416
22,data\scores\Beethoven\105510-Sonate_No._15_Pastoral_2nd_Movement.mxl,Beethoven,105510-Sonate_No._15_Pastoral_2nd_Movement,2,,,,note,D4,D,D,0,4,62,2,0.25,3.2432432432432416
