,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,1,4,major,0,rest,,,,,,,,0.25,0.0
2,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,0.5
3,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,0.8703703703703703
4,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,2,,,,rest,,,,,,,,0.25,0.5
5,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,2,,,,rest,,,,,,,,0.25,0.8703703703703703
6,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.75,1.2407407407407407
7,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,3,,,,rest,,,,,,,,0.25,1.240740740740741
8,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,3,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,1.6111111111111112
9,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,3,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,1.9814814814814814
10,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,3,,,,rest,,,,,,,,0.25,1.2407407407407405
11,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,4,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,2.3518518518518516
12,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,4,,,,note,A5,A,A,0.0,5,81.0,9.0,0.125,2.722222222222222
13,data\scores\Alkan\1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl,Alkan,1084156-Esquisse_Opus_63_No._5_in_E_Major,4,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.125,2.907407407407407
