,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,F#4,F#,F,1,4,66,6,0.375,0
1,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,B#4,B#,B,1,4,60,0,0.375,0
2,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,E#4,E#,E,1,4,65,5,0.125,0.5921052631578947
3,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.5921052631578947
4,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,D3,D,D,0,3,50,2,0.375,0.0
5,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,F#3,F#,F,1,3,54,6,0.375,0.0
6,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,C#3,C#,C,1,3,49,1,0.125,0.5921052631578947
7,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,1,6,major,0,note,G#3,G#,G,1,3,56,8,0.125,0.5921052631578947
8,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,E#4,E#,E,1,4,65,5,0.125,0.7894736842105263
9,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,G#4,G#,G,1,4,68,8,0.125,0.7894736842105263
10,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,rest,,,,,,,,0.125,0.986842105263158
11,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,rest,,,,,,,,0.125,1.1842105263157896
12,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,F#4,F#,F,1,4,66,6,0.125,1.3815789473684212
13,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,A#4,A#,A,1,4,70,10,0.125,1.3815789473684212
14,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,B2,B,B,0,2,47,11,0.125,0.7894736842105265
15,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.125,0.7894736842105265
16,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,rest,,,,,,,,0.125,0.9868421052631582
17,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,rest,,,,,,,,0.125,1.1842105263157898
18,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,A#2,A#,A,1,2,46,10,0.125,1.3815789473684215
19,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.125,1.3815789473684215
20,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,D#4,D#,D,1,4,63,3,0.1875,1.578947368421053
21,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,B4,B,B,0,4,71,11,0.1875,1.578947368421053
22,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,C#4,C#,C,1,4,61,1,0.0625,1.8750000000000004
23,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,A#4,A#,A,1,4,70,10,0.0625,1.8750000000000004
24,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,B3,B,B,0,3,59,11,0.125,1.9736842105263162
25,data\scores\Beethoven\108535-Sonate_No._24_A_Therese_2nd_Movement.mxl,Beethoven,108535-Sonate_No._24_A_Therese_2nd_Movement,3,,,,note,G#4,G#,G,1,4,68,8,0.125,1.9736842105263162
