,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,D5,D,D,0,5,74,2,0.125,0
1,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,C5,C,C,0,5,72,0,0.0625,0.26785714285714285
2,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.4017857142857143
3,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,A4,A,A,0,4,69,9,0.0625,0.5357142857142857
4,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,G4,G,G,0,4,67,7,0.0625,0.6696428571428571
5,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,F4,F,F,0,4,65,5,0.0625,0.8035714285714285
6,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,E4,E,E,0,4,64,4,0.0625,0.9374999999999999
7,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,D4,D,D,0,4,62,2,0.0625,1.0714285714285714
8,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,F4,F,F,0,4,65,5,0.0625,1.2053571428571428
9,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,E4,E,E,0,4,64,4,0.0625,1.3392857142857142
10,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,D4,D,D,0,4,62,2,0.0625,1.4732142857142856
11,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,D3,D,D,0,3,50,2,0.25,-2.220446049250313e-16
12,data\scores\Bach\1098286-Prelude_No._6_BWV_875_in_D_Minor.mxl,Bach,1098286-Prelude_No._6_BWV_875_in_D_Minor,1,-1,major,0,note,D2,D,D,0,2,38,2,0.25,0.5357142857142855
