,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,1,-3,major,0,rest,,,,,,,,0.25,0
1,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,1,-3,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.1875,0.0
2,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,1,-3,major,0,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,0.6716397861498921
3,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,1,-3,major,0,rest,,,,,,,,0.25,0.0
4,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,0.8955197148665227
5,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,1.3432795722997841
6,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,1.7910394297330454
7,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,2.014919358449676
8,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.0625,2.238799287166307
9,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,2.462679215882938
10,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,0.8955197148665233
11,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,0.8955197148665233
12,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,2.2387992871663074
13,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.8955197148665233
14,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.119399643583154
15,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.3432795722997846
16,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.5671595010164152
17,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.7910394297330459
18,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.0149193584496765
19,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.0625,2.2387992871663074
20,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,2.4626792158829383
21,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,2,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,2.238799287166308
22,data\scores\Beethoven\113152-Sonate_No._4_4th_Movement.mxl,Beethoven,113152-Sonate_No._4_4th_Movement,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,2.686559144599569
