,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,F#4,F#,F,1,4,66,6,0.020833333333333332,0
1,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,F#5,F#,F,1,5,78,6,0.020833333333333332,0
2,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,rest,,,,,,,,0.041666666666666664,0.07575757575757575
3,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,A#4,A#,A,1,4,70,10,0.020833333333333332,0.22727272727272724
4,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,A#5,A#,A,1,5,82,10,0.020833333333333332,0.22727272727272724
5,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,rest,,,,,,,,0.041666666666666664,0.303030303030303
6,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,rest,,,,,,,,0.020833333333333332,-5.551115123125783e-17
7,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,A#3,A#,A,1,3,58,10,0.020833333333333332,0.07575757575757569
8,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,C#4,C#,C,1,4,61,1,0.020833333333333332,0.07575757575757569
9,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,F#4,F#,F,1,4,66,6,0.020833333333333332,0.15151515151515144
10,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,rest,,,,,,,,0.020833333333333332,0.22727272727272718
11,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,C#4,C#,C,1,4,61,1,0.020833333333333332,0.3030303030303029
12,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,F#4,F#,F,1,4,66,6,0.020833333333333332,0.3030303030303029
13,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,1,6,major,0,note,A#4,A#,A,1,4,70,10,0.020833333333333332,0.3787878787878787
14,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,2,,,,note,C#5,C#,C,1,5,73,1,0.125,0.4545454545454544
15,data\scores\Alkan\1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl,Alkan,1150676-Esquisse_Opus_63_No._7_in_F_Major,2,,,,note,C#6,C#,C,1,6,85,1,0.125,0.4545454545454544
