,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#2,C#,C,1.0,2,37.0,1.0,0.08333333333333333,0.0
2,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,0.23809523809523808
3,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#3,G#,G,1.0,3,56.0,8.0,0.08333333333333333,0.47619047619047616
4,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,0.7142857142857142
5,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,0.9523809523809523
6,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#2,C#,C,1.0,2,37.0,1.0,0.08333333333333333,1.1904761904761905
7,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,1.4285714285714286
8,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,1.6666666666666667
9,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#3,G#,G,1.0,3,56.0,8.0,0.08333333333333333,1.9047619047619049
10,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,2.142857142857143
11,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,2.380952380952381
12,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,1,4,major,0,note,C#2,C#,C,1.0,2,37.0,1.0,0.08333333333333333,2.619047619047619
13,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,rest,,,,,,,,0.25,2.857142857142857
14,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,2.857142857142857
15,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,3.0952380952380953
16,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#3,G#,G,1.0,3,56.0,8.0,0.08333333333333333,3.3333333333333335
17,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,3.5714285714285716
18,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,3.8095238095238098
19,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#2,C#,C,1.0,2,37.0,1.0,0.08333333333333333,4.0476190476190474
20,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,4.285714285714286
21,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,4.523809523809524
22,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#3,G#,G,1.0,3,56.0,8.0,0.08333333333333333,4.761904761904762
23,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#3,C#,C,1.0,3,49.0,1.0,0.08333333333333333,5.0
24,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,G#2,G#,G,1.0,2,44.0,8.0,0.08333333333333333,5.238095238095238
25,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,2,,,,note,C#2,C#,C,1.0,2,37.0,1.0,0.08333333333333333,5.476190476190476
26,data\scores\Chopin\117606-Nocturne_Opus_27_No._1_in_C_Minor.xml,Chopin,117606-Nocturne_Opus_27_No._1_in_C_Minor,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,5.714285714285714
