,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,rest,,,,,,,,0.125,0
1,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,0.625
2,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,1.25
3,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,1.875
4,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,Cx4,Cx,C,2.0,4,62.0,2.0,0.125,2.5
5,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,3.125
6,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,note,E#4,E#,E,1.0,4,65.0,5.0,0.25,3.75
7,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,rest,,,,,,,,0.25,0.0
8,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,1,6,major,0,rest,,,,,,,,0.25,0.0
9,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.125,5.0
10,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,5.625
11,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,6.25
12,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,8.125
13,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.0625,8.4375
14,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,8.75
15,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,9.375
16,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,rest,,,,,,,,0.25,5.0
17,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,2,,,,rest,,,,,,,,0.25,5.0
18,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,10.0
19,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.125,10.625
20,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,11.25
21,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,11.875
22,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,12.1875
23,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.375,12.5
24,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,14.375
25,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.0625,14.6875
26,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,rest,,,,,,,,0.125,10.0
27,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,10.625
28,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,11.25
29,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,11.875
30,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,Gx3,Gx,G,2.0,3,57.0,9.0,0.125,12.5
31,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,13.125
32,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,note,B#3,B#,B,1.0,3,48.0,0.0,0.25,13.75
33,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,3,,,,rest,,,,,,,,0.25,10.0
34,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.375,15.0
35,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.0625,16.875
36,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.0625,17.1875
37,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,17.5
38,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.0625,19.375
39,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,Gx4,Gx,G,2.0,4,69.0,9.0,0.0625,19.6875
40,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,B#3,B#,B,1.0,3,48.0,0.0,0.125,15.0
41,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,15.625
42,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.25,16.25
43,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,17.5
44,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,18.125
45,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,B#3,B#,B,1.0,3,48.0,0.0,0.0625,18.4375
46,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,E#4,E#,E,1.0,4,65.0,5.0,0.125,18.75
47,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,19.375
48,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,4,,,,rest,,,,,,,,0.25,15.0
49,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,20.0
50,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,B#4,B#,B,1.0,4,60.0,0.0,0.125,20.625
51,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,21.25
52,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,22.5
53,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.125,23.125
54,data\scores\Bach\1177476-Fugue_No._8_BWV_877_in_D_Minor.mxl,Bach,1177476-Fugue_No._8_BWV_877_in_D_Minor,5,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,23.75
