,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,1,-3,major,0,rest,,,,,,,,0.125,0
1,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,1,-3,major,0,rest,,,,,,,,0.125,0.12244897959183673
2,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,1,-3,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.125,0.0
3,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,1,-3,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,0.12244897959183673
4,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,rest,,,,,,,,0.25,0.24489795918367346
5,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,0.24489795918367352
6,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.125,0.3673469387755103
7,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,0.48979591836734704
8,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,D3,D,D,0.0,3,50.0,2.0,0.125,0.6122448979591838
9,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.125,0.7346938775510206
10,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,0.8571428571428573
11,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,rest,,,,,,,,0.25,0.9795918367346941
12,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,rest,,,,,,,,0.125,1.2244897959183676
13,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,rest,,,,,,,,0.25,1.3469387755102042
14,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,note,Bb5,Bb,B,-1.0,5,82.0,10.0,0.125,1.5918367346938778
15,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.125,0.9795918367346941
16,data\scores\Beethoven\122031-Sonate_No._18_The_Hunt_4th_Movement.mxl,Beethoven,122031-Sonate_No._18_The_Hunt_4th_Movement,3,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.125,1.1020408163265307
