,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,A3,A,A,0,3,57,9,0.375,0
1,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,C#4,C#,C,1,4,61,1,0.375,1.9565217391304348
2,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,A1,A,A,0,1,33,9,0.375,0.0
3,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,A2,A,A,0,2,45,9,0.375,0.0
4,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,C#2,C#,C,1,2,37,1,0.375,1.9565217391304348
5,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,1,3,major,0,note,C#3,C#,C,1,3,49,1,0.375,1.9565217391304348
6,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,A4,A,A,0,4,69,9,0.25,3.9130434782608696
7,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#5,C#,C,1,5,73,1,0.25,3.9130434782608696
8,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,A4,A,A,0,4,69,9,0.125,5.217391304347826
9,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#4,C#,C,1,4,61,1,0.125,5.869565217391305
10,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,A4,A,A,0,4,69,9,0.125,5.869565217391305
11,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#4,C#,C,1,4,61,1,0.125,6.521739130434783
12,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#4,F#,F,1,4,66,6,0.125,6.521739130434783
13,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,B3,B,B,0,3,59,11,0.125,7.173913043478262
14,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#4,C#,C,1,4,61,1,0.125,7.173913043478262
15,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,E#4,E#,E,1,4,65,5,0.125,7.173913043478262
16,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,G#4,G#,G,1,4,68,8,0.125,7.173913043478262
17,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#4,C#,C,1,4,61,1,0.375,3.9130434782608705
18,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#4,F#,F,1,4,66,6,0.375,3.9130434782608705
19,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#2,F#,F,1,2,42,6,0.375,3.913043478260871
20,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.375,3.913043478260871
21,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#3,F#,F,1,3,54,6,0.375,3.913043478260871
22,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#2,F#,F,1,2,42,6,0.125,5.8695652173913055
23,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.125,5.8695652173913055
24,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,F#3,F#,F,1,3,54,6,0.125,5.8695652173913055
25,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,A2,A,A,0,2,45,9,0.125,6.521739130434784
26,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.125,6.521739130434784
27,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,A3,A,A,0,3,57,9,0.125,6.521739130434784
28,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,G#2,G#,G,1,2,44,8,0.125,7.1739130434782625
29,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,C#3,C#,C,1,3,49,1,0.125,7.1739130434782625
30,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,2,,,,note,G#3,G#,G,1,3,56,8,0.125,7.1739130434782625
31,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,A3,A,A,0,3,57,9,0.375,7.826086956521741
32,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,C#4,C#,C,1,4,61,1,0.375,7.826086956521741
33,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,F#4,F#,F,1,4,66,6,0.375,7.826086956521741
34,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,A4,A,A,0,4,69,9,0.375,7.826086956521741
35,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,B3,B,B,0,3,59,11,0.25,9.782608695652176
36,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,F#4,F#,F,1,4,66,6,0.25,9.782608695652176
37,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,B4,B,B,0,4,71,11,0.25,9.782608695652176
38,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,D4,D,D,0,4,62,2,0.125,11.086956521739133
39,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,F#4,F#,F,1,4,66,6,0.125,11.086956521739133
40,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,D5,D,D,0,5,74,2,0.125,11.086956521739133
41,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,F#2,F#,F,1,2,42,6,0.375,7.826086956521742
42,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,C#3,C#,C,1,3,49,1,0.375,7.826086956521742
43,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,F#3,F#,F,1,3,54,6,0.375,7.826086956521742
44,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,D2,D,D,0,2,38,2,0.25,9.782608695652177
45,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,D3,D,D,0,3,50,2,0.25,9.782608695652177
46,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,B1,B,B,0,1,35,11,0.125,11.086956521739134
47,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,3,,,,note,B2,B,B,0,2,47,11,0.125,11.086956521739134
48,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,D4,D,D,0,4,62,2,0.25,11.739130434782613
49,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#4,F#,F,1,4,66,6,0.25,11.739130434782613
50,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,D5,D,D,0,5,74,2,0.25,11.739130434782613
51,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#4,C#,C,1,4,61,1,0.125,13.04347826086957
52,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#4,F#,F,1,4,66,6,0.125,13.04347826086957
53,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#5,C#,C,1,5,73,1,0.125,13.04347826086957
54,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#4,C#,C,1,4,61,1,0.125,13.695652173913048
55,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#4,F#,F,1,4,66,6,0.125,13.695652173913048
56,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#5,C#,C,1,5,73,1,0.125,13.695652173913048
57,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,E#4,E#,E,1,4,65,5,0.125,14.347826086956527
58,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,B4,B,B,0,4,71,11,0.125,14.347826086956527
59,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#5,C#,C,1,5,73,1,0.125,14.347826086956527
60,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,E#5,E#,E,1,5,77,5,0.125,14.347826086956527
61,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#4,F#,F,1,4,66,6,0.125,15.000000000000005
62,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,A4,A,A,0,4,69,9,0.125,15.000000000000005
63,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,C#5,C#,C,1,5,73,1,0.125,15.000000000000005
64,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#5,F#,F,1,5,78,6,0.125,15.000000000000005
65,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,B1,B,B,0,1,35,11,0.25,11.739130434782615
66,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,B2,B,B,0,2,47,11,0.25,11.739130434782615
67,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,A1,A,A,0,1,33,9,0.125,13.043478260869572
68,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,A2,A,A,0,2,45,9,0.125,13.043478260869572
69,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,A1,A,A,0,1,33,9,0.125,13.69565217391305
70,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,A2,A,A,0,2,45,9,0.125,13.69565217391305
71,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,G#1,G#,G,1,1,32,8,0.125,14.347826086956529
72,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,G#2,G#,G,1,2,44,8,0.125,14.347826086956529
73,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#1,F#,F,1,1,30,6,0.125,15.000000000000007
74,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,4,,,,note,F#2,F#,F,1,2,42,6,0.125,15.000000000000007
75,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,G#4,G#,G,1,4,68,8,0.375,15.652173913043486
76,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,C#5,C#,C,1,5,73,1,0.375,15.652173913043486
77,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,G#5,G#,G,1,5,80,8,0.375,15.652173913043486
78,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,G#4,G#,G,1,4,68,8,0.375,17.60869565217392
79,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,B4,B,B,0,4,71,11,0.375,17.60869565217392
80,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,D5,D,D,0,5,74,2,0.375,17.60869565217392
81,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,E#1,E#,E,1,1,29,5,0.375,15.652173913043486
82,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,E#2,E#,E,1,2,41,5,0.375,15.652173913043486
83,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,E#3,E#,E,1,3,53,5,0.375,17.60869565217392
84,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,G#3,G#,G,1,3,56,8,0.375,17.60869565217392
85,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,B3,B,B,0,3,59,11,0.375,17.60869565217392
86,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,5,,,,note,D4,D,D,0,4,62,2,0.375,17.60869565217392
87,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,G#4,G#,G,1,4,68,8,0.375,19.565217391304355
88,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,B4,B,B,0,4,71,11,0.375,19.565217391304355
89,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,D5,D,D,0,5,74,2,0.375,19.565217391304355
90,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,A4,A,A,0,4,69,9,0.25,21.52173913043479
91,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,C#5,C#,C,1,5,73,1,0.25,21.52173913043479
92,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,E#4,E#,E,1,4,65,5,0.125,22.826086956521745
93,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,B4,B,B,0,4,71,11,0.125,22.826086956521745
94,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,rest,,,,,,,,0.125,19.56521739130435
95,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,rest,,,,,,,,0.125,20.217391304347828
96,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,D4,D,D,0,4,62,2,0.125,20.869565217391305
97,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,C#4,C#,C,1,4,61,1,0.25,21.52173913043478
98,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,B3,B,B,0,3,59,11,0.125,22.82608695652174
99,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,D4,D,D,0,4,62,2,0.125,22.82608695652174
100,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,E#1,E#,E,1,1,29,5,0.375,19.565217391304344
101,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,E#2,E#,E,1,2,41,5,0.375,19.565217391304344
102,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,F#1,F#,F,1,1,30,6,0.25,21.521739130434778
103,data\scores\Beethoven\123918-Sonate_No._29_Hammerklavier_3rd_Movement.mxl,Beethoven,123918-Sonate_No._29_Hammerklavier_3rd_Movement,6,,,,note,F#2,F#,F,1,2,42,6,0.25,21.521739130434778
