,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.020833333333333332,0
1,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.020833333333333332,0.14285714285714285
2,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.020833333333333332,0.2857142857142857
3,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.020833333333333332,0.42857142857142855
4,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.020833333333333332,0.5714285714285714
5,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.020833333333333332,0.7142857142857142
6,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.020833333333333332,0.857142857142857
7,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.020833333333333332,0.9999999999999998
8,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.020833333333333332,1.1428571428571426
9,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.09375,1.3928571428571426
10,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.03125,2.5178571428571423
11,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.03125,2.5178571428571423
12,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.0625,2.7678571428571423
13,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.0625,2.7678571428571423
14,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.0625,3.2678571428571423
15,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,rest,,,,,,,,0.09375,3.7678571428571423
16,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.03125,4.517857142857142
17,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,Ab5,Ab,A,-1.0,5,80.0,8.0,0.03125,4.517857142857142
18,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,Db6,Db,D,-1.0,6,85.0,1.0,0.03125,4.517857142857142
19,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F6,F,F,0.0,6,89.0,5.0,0.03125,4.517857142857142
20,data\scores\Beethoven\126256-Sonate_No._29_Hammerklavier_4th_Movement.mxl,Beethoven,126256-Sonate_No._29_Hammerklavier_4th_Movement,1,-2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.0625,4.767857142857142
