,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.125,0
1,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.25,0.6818181818181818
2,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,A4,A,A,0,4,69,9,0.0625,2.0454545454545454
3,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,B4,B,B,0,4,71,11,0.0625,2.3863636363636362
4,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.041666666666666664,2.727272727272727
5,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,B4,B,B,0,4,71,11,0.041666666666666664,2.954545454545454
6,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,A4,A,A,0,4,69,9,0.041666666666666664,3.181818181818181
7,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,B4,B,B,0,4,71,11,0.041666666666666664,3.4090909090909083
8,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,A4,A,A,0,4,69,9,0.041666666666666664,3.6363636363636354
9,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,G#4,G#,G,1,4,68,8,0.041666666666666664,3.8636363636363624
10,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,rest,,,,,,,,0.125,-8.881784197001252e-16
11,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,0.6818181818181809
12,data\scores\Bach\1444781-Prelude_No._14_BWV_883_in_F_Minor.mxl,Bach,1444781-Prelude_No._14_BWV_883_in_F_Minor,1,3,major,0,note,C#4,C#,C,1,4,61,1,0.125,1.3636363636363626
