,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,G4,G,G,0,4,67,7,0.0625,0
1,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.1388888888888889
2,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.2777777777777778
3,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.4166666666666667
4,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,G4,G,G,0,4,67,7,0.0625,0.5555555555555556
5,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.6944444444444444
6,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,A4,A,A,0,4,69,9,0.0625,0.8333333333333333
7,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.9722222222222221
8,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,B4,B,B,0,4,71,11,0.0625,1.111111111111111
9,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.2499999999999998
10,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,C5,C,C,0,5,72,0,0.0625,1.3888888888888886
11,data\scores\Bach\1497201-Prelude_No._15_BWV_884_in_G_Major.mxl,Bach,1497201-Prelude_No._15_BWV_884_in_G_Major,1,1,major,0,note,D5,D,D,0,5,74,2,0.0625,1.5277777777777775
