,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,rest,,,,,,,,0.0625,0
1,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,0.09375
2,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,0.1875
3,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,0.28125
4,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,0.375
5,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,0.46875
6,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,0.5625
7,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,0.65625
8,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,0.75
9,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,0.84375
10,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.0625,0.9375
11,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.03125
12,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E2,E,E,0.0,2,40.0,4.0,0.25,0.0
13,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.25,0.0
14,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,rest,,,,,,,,0.25,0.375
15,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,rest,,,,,,,,0.125,0.75
16,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,1,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,0.9375
17,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.0625,1.125
18,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.21875
19,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,2,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,1.3125
20,..\data\scores\Kozeluch_Leopold\15op13no3c.mxl,Kozeluch_Leopold,15op13no3c,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.40625
