,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,1,1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,1,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.25,0.0
2,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,1,1,major,0,rest,,,,,,,,0.25,0.0
3,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.1875,0.5454545454545454
4,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,0.9545454545454545
5,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,1.0909090909090908
6,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,1.6363636363636362
7,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,0.5454545454545454
8,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,1.0909090909090908
9,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.25,1.6363636363636362
10,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,rest,,,,,,,,0.25,0.5454545454545454
11,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,rest,,,,,,,,0.25,1.0909090909090908
12,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,2,,,,note,B2,B,B,0.0,2,47.0,11.0,0.25,1.6363636363636362
13,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,3,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,2.1818181818181817
14,data\scores\Alkan\1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl,Alkan,1620951-Esquisse_Opus_63_No._17_in_E_Minor,3,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.25,2.727272727272727
