,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,D#5,D#,D,1,5,75,3,0.25,0
1,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,E5,E,E,0,5,76,4,0.1875,0.7894716066536667
2,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,D#5,D#,D,1,5,75,3,0.0625,1.3815753116439167
3,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,C#5,C#,C,1,5,73,1,0.25,1.5789432133073333
4,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,D#5,D#,D,1,5,75,3,0.25,2.368414819961
5,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,B1,B,B,0,1,35,11,0.125,0.0
6,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#4,F#,F,1,4,66,6,0.125,0.39473580332683333
7,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#3,F#,F,1,3,54,6,0.125,0.7894716066536667
8,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#4,F#,F,1,4,66,6,0.125,1.1842074099805
9,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,A#3,A#,A,1,3,58,10,0.125,1.5789432133073333
10,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,E4,E,E,0,4,64,4,0.125,1.5789432133073333
11,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#4,F#,F,1,4,66,6,0.125,1.9736790166341667
12,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#3,F#,F,1,3,54,6,0.125,2.368414819961
13,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,1,5,major,0,note,F#4,F#,F,1,4,66,6,0.125,2.7631506232878333
14,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,B4,B,B,0,4,71,11,0.25,3.1578864266146667
15,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,B4,B,B,0,4,71,11,0.0625,3.9473580332683333
16,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,D#5,D#,D,1,5,75,3,0.0625,4.14472593493175
17,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,B5,B,B,0,5,83,11,0.0625,4.342093836595167
18,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,G#5,G#,G,1,5,80,8,0.0625,4.539461738258583
19,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,F#5,F#,F,1,5,78,6,0.375,4.736829639922
20,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,E5,E,E,0,5,76,4,0.125,5.9210370499025
21,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,B3,B,B,0,3,59,11,0.125,3.1578864266146667
22,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,D#4,D#,D,1,4,63,3,0.125,3.1578864266146667
23,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,F#4,F#,F,1,4,66,6,0.125,3.5526222299415
24,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,F#3,F#,F,1,3,54,6,0.125,3.9473580332683333
25,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,F#4,F#,F,1,4,66,6,0.125,4.342093836595167
26,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,A#3,A#,A,1,3,58,10,0.125,4.736829639922
27,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,C#4,C#,C,1,4,61,1,0.125,4.736829639922
28,data\scores\Chopin\184799-Nocturne_Opus_32_No._1_in_B_Major.xml,Chopin,184799-Nocturne_Opus_32_No._1_in_B_Major,2,,,,note,F#4,F#,F,1,4,66,6,0.125,5.131565443248833
