,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,1,2,major,0,rest,,,,,,,,0.125,0
1,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,1,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,0.0
2,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,1,2,major,0,rest,,,,,,,,0.125,0.0
3,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,2,,,,rest,,,,,,,,0.25,0.3225806451612903
4,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,0.32258064516129026
5,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,2,,,,note,B3,B,B,0.0,3,59.0,11.0,0.125,0.6451612903225805
6,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,2,,,,note,A#3,A#,A,1.0,3,58.0,10.0,0.125,0.9677419354838708
7,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,2,,,,rest,,,,,,,,0.25,0.32258064516129004
8,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,rest,,,,,,,,0.25,1.290322580645161
9,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.290322580645161
10,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,1.6129032258064513
11,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,1.7741935483870965
12,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.9354838709677418
13,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,2.096774193548387
14,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,3,,,,rest,,,,,,,,0.25,1.290322580645161
15,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,4,,,,rest,,,,,,,,0.25,2.258064516129032
16,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,2.258064516129032
17,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,4,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,2.5806451612903225
18,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,2.903225806451613
19,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,4,,,,rest,,,,,,,,0.25,2.2580645161290325
20,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,5,,,,rest,,,,,,,,0.25,3.2258064516129035
21,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,3.225806451612903
22,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,5,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.125,3.5483870967741935
23,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,3.870967741935484
24,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,5,,,,rest,,,,,,,,0.25,3.225806451612903
25,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,6,,,,rest,,,,,,,,0.25,4.193548387096774
26,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,6,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,4.193548387096774
27,data\scores\Bach\2007701-Fugue_No._24_BWV_893_in_B_Minor.mxl,Bach,2007701-Fugue_No._24_BWV_893_in_B_Minor,6,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,4.516129032258064
