,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,0
1,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.25,0
2,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.08333333333333333,1.5
3,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.08333333333333333,1.5
4,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.08333333333333333,2.0
5,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.08333333333333333,2.0
6,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.08333333333333333,2.5
7,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.08333333333333333,2.5
8,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.1875,3.0
9,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.1875,3.0
10,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.0625,4.125
11,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.0625,4.125
12,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,4.5
13,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G5,G,G,0,5,79,7,0.25,4.5
14,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,0.0
15,data\scores\Alkan\205946-Prelude_Opus_31_No._1_in_C_Major.mxl,Alkan,205946-Prelude_Opus_31_No._1_in_C_Major,1,0,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,1.5
