,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,rest,,,,,,,,0.041666666666666664,0.0
2,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,note,Ab1,Ab,A,-1.0,1,32.0,8.0,0.041666666666666664,0.2631578947368421
3,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.041666666666666664,0.5263157894736842
4,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.041666666666666664,0.7894736842105263
5,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,1.0526315789473684
6,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,1,-4,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,1.3157894736842104
7,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,rest,,,,,,,,0.25,1.5789473684210524
8,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.375,1.5789473684210522
9,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.125,3.947368421052631
10,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.25,4.7368421052631575
11,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab1,Ab,A,-1.0,1,32.0,8.0,0.041666666666666664,6.315789473684211
12,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.041666666666666664,6.578947368421053
13,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.041666666666666664,6.842105263157896
14,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,C3,C,C,0.0,3,48.0,0.0,0.041666666666666664,6.842105263157896
15,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.041666666666666664,6.842105263157896
16,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,C3,C,C,0.0,3,48.0,0.0,0.041666666666666664,7.105263157894738
17,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.041666666666666664,7.105263157894738
18,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,7.105263157894738
19,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.041666666666666664,7.3684210526315805
20,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,7.3684210526315805
21,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,7.3684210526315805
22,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,7.631578947368423
23,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,7.631578947368423
24,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.041666666666666664,7.631578947368423
25,data\scores\Alkan\2523846-Etude_Opus_76_No._1_in_A_Major.mxl,Alkan,2523846-Etude_Opus_76_No._1_in_A_Major,2,,,,note,Db3,Db,D,-1.0,3,49.0,1.0,0.5,1.5789473684210549
