,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,rest,,,,,,,,0.25,0.0
2,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.125,0.5
3,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,C#6,C#,C,1.0,6,85.0,1.0,0.125,0.5
4,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,E6,E,E,0.0,6,88.0,4.0,0.125,0.5
5,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,Bb6,Bb,B,-1.0,6,94.0,10.0,0.125,0.5
6,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,rest,,,,,,,,0.125,0.75
7,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,rest,,,,,,,,0.25,1.0
8,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.125,1.5
9,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,G#5,G#,G,1.0,5,80.0,8.0,0.125,1.5
10,data\scores\Liszt\2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa.mxl,Liszt,2603291-Liszt_-_Transcendental_Etude_No._4_Mazeppa,1,-1,major,0,note,B5,B,B,0.0,5,83.0,11.0,0.125,1.5
