,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.25,0
1,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,D3,D,D,0,3,50,2,0.25,0
2,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,A2,A,A,0,2,45,9,0.25,1.3636363636363635
3,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,C#3,C#,C,1,3,49,1,0.25,1.3636363636363635
4,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.25,2.727272727272727
5,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,D3,D,D,0,3,50,2,0.25,2.727272727272727
6,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,rest,,,,,,,,0.125,0.0
7,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,rest,,,,,,,,0.020833333333333332,0.6818181818181818
8,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.020833333333333332,0.7954545454545454
9,data\scores\Liszt\2603316-Liszt_-_Transcendental_Etude_No._6_Vision.mxl,Liszt,2603316-Liszt_-_Transcendental_Etude_No._6_Vision,1,-2,major,0,note,G3,G,G,0,3,55,7,0.020833333333333332,0.9090909090909091
