,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,rest,,,,,,,,0.25,0
1,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Db2,Db,D,-1.0,2,37.0,1.0,0.03571428571428571,0.0
2,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.03571428571428571,0.345
3,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Db3,Db,D,-1.0,3,49.0,1.0,0.03571428571428571,0.69
4,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.03571428571428571,1.035
5,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.03571428571428571,1.38
6,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Db4,Db,D,-1.0,4,61.0,1.0,0.03571428571428571,1.7249999999999999
7,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.03571428571428571,2.07
8,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.03571428571428571,2.4
9,data\scores\Liszt\2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro.mxl,Liszt,2635411-Liszt_-_Trois_Etudes_de_Concert_No._3_Un_Sospiro,1,-5,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.03571428571428571,2.745
