,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,1,-2,major,0,note,C5,C,C,0,5,72,0,0.0,0
1,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0
2,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,1,-2,major,0,note,A4,A,A,0,4,69,9,0.0625,0.13392857142857142
3,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,1,-2,major,0,rest,,,,,,,,0.125,0.0
4,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,0.26785714285714285
5,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,D5,D,D,0,5,74,2,0.125,0.5357142857142857
6,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,C5,C,C,0,5,72,0,0.0625,0.8035714285714286
7,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,A4,A,A,0,4,69,9,0.0625,0.9375
8,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.0714285714285714
9,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,D5,D,D,0,5,74,2,0.0625,1.2053571428571428
10,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,0.2678571428571428
11,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,D4,D,D,0,4,62,2,0.125,0.2678571428571428
12,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,F4,F,F,0,4,65,5,0.125,0.2678571428571428
13,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,rest,,,,,,,,0.125,0.5357142857142856
14,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,0.8035714285714284
15,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,0.8035714285714284
16,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.125,0.8035714285714284
17,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,1.0714285714285712
18,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,D4,D,D,0,4,62,2,0.125,1.0714285714285712
19,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,2,,,,note,F4,F,F,0,4,65,5,0.125,1.0714285714285712
20,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,C5,C,C,0,5,72,0,0.125,1.339285714285714
21,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,A4,A,A,0,4,69,9,0.125,1.6071428571428568
22,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.8749999999999996
23,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,D5,D,D,0,5,74,2,0.0625,2.008928571428571
24,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,C5,C,C,0,5,72,0,0.0625,2.142857142857143
25,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,A4,A,A,0,4,69,9,0.0625,2.2767857142857144
26,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,1.3392857142857146
27,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,1.3392857142857146
28,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Gb4,Gb,G,-1,4,66,6,0.125,1.3392857142857146
29,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,rest,,,,,,,,0.125,1.6071428571428574
30,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,1.8750000000000002
31,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,D4,D,D,0,4,62,2,0.125,1.8750000000000002
32,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,F4,F,F,0,4,65,5,0.125,1.8750000000000002
33,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,2.1428571428571432
34,data\scores\Alkan\2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl,Alkan,2825166-Esquisse_Opus_63_No._35_in_B_Major,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,2.1428571428571432
