,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,E4,E,E,0,4,64,4,0.5,0
1,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.5,0
2,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,F#4,F#,F,1,4,66,6,0.125,1.0
3,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,D5,D,D,0,5,74,2,0.125,1.0
4,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,E4,E,E,0,4,64,4,0.125,1.25
5,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,1.25
6,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,D4,D,D,0,4,62,2,0.125,1.5
7,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,B4,B,B,0,4,71,11,0.125,1.5
8,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,C#4,C#,C,1,4,61,1,0.125,1.75
9,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A4,A,A,0,4,69,9,0.125,1.75
10,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,rest,,,,,,,,0.125,0.0
11,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,0.25
12,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,0.5
13,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,0.75
14,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,1.0
15,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,1.25
16,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,1.5
17,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A3,A,A,0,3,57,9,0.125,1.75
18,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,1,3,major,0,note,A2,A,A,0,2,45,9,1.0,0.0
19,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,B3,B,B,0,3,59,11,0.5,2.0
20,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,D4,D,D,0,4,62,2,0.5,2.0
21,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,A4,A,A,0,4,69,9,0.5,2.0
22,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,G#4,G#,G,1,4,68,8,0.125,3.0
23,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,E4,E,E,0,4,64,4,0.125,3.25
24,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,F#4,F#,F,1,4,66,6,0.125,3.5
25,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,G#4,G#,G,1,4,68,8,0.125,3.75
26,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,rest,,,,,,,,0.125,2.0
27,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,A3,A,A,0,3,57,9,0.125,2.25
28,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,A3,A,A,0,3,57,9,0.125,2.5
29,..\data\scores\Kozeluch_Leopold\32op35no2a.mxl,Kozeluch_Leopold,32op35no2a,2,,,,note,A3,A,A,0,3,57,9,0.125,2.75
