,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,1,4,major,0,note,E4,E,E,0,4,64,4,0.1875,0
1,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,0.576923076923077
2,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,1,4,major,0,rest,,,,,,,,0.25,0.0
3,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,B4,B,B,0,4,71,11,0.25,0.7692307692307693
4,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,B4,B,B,0,4,71,11,0.25,1.5384615384615385
5,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,B4,B,B,0,4,71,11,0.25,2.307692307692308
6,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,B4,B,B,0,4,71,11,0.25,3.076923076923077
7,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,G#4,G#,G,1,4,68,8,0.25,1.5384615384615383
8,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,F#4,F#,F,1,4,66,6,0.25,2.3076923076923075
9,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,note,A4,A,A,0,4,69,9,0.25,3.0769230769230766
10,data\scores\Alkan\353641-Prelude_Opus_31_No._9_in_E_Major.mxl,Alkan,353641-Prelude_Opus_31_No._9_in_E_Major,2,,,,rest,,,,,,,,0.25,0.7692307692307687
