,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,0.0
2,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.041666666666666664,0.16666666666666666
3,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,0.3333333333333333
4,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,0.5
5,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.0625,0.75
6,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,1.0
7,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,1.25
8,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.25,0.0
9,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.25,0.0
10,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,1,-4,major,0,rest,,,,,,,,0.125,1.0
11,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,rest,,,,,,,,0.25,1.5
12,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,1.5
13,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.041666666666666664,1.6666666666666667
14,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,1.8333333333333335
15,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,2.0
16,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.0625,2.25
17,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,2.5
18,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,2,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,2.75
19,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,rest,,,,,,,,0.25,3.0
20,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.041666666666666664,3.0
21,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.041666666666666664,3.1666666666666665
22,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.041666666666666664,3.333333333333333
23,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,3.4999999999999996
24,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.0625,3.7499999999999996
25,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.0625,3.9999999999999996
26,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.0625,4.25
27,data\scores\Liszt\3987861-Liszt_-_Au_Lac_de_Wallenstadt.mxl,Liszt,3987861-Liszt_-_Au_Lac_de_Wallenstadt,3,,,,note,Ab2,Ab,A,-1.0,2,44.0,8.0,0.25,3.0
