,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,G5,G,G,0,5,79,7,0.0,0
1,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,F5,F,F,0,5,77,5,0.125,0
2,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,E5,E,E,0,5,76,4,0.125,0.3
3,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,F5,F,F,0,5,77,5,0.125,0.6
4,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,A4,A,A,0,4,69,9,0.125,0.0
5,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.3
6,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,1,0,major,0,note,A4,A,A,0,4,69,9,0.125,0.6
7,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,D5,D,D,0,5,74,2,0.25,0.8999999999999999
8,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,F5,F,F,0,5,77,5,0.125,1.5
9,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,E5,E,E,0,5,76,4,0.125,1.8
10,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,D5,D,D,0,5,74,2,0.125,2.1
11,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.4
12,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,F4,F,F,0,4,65,5,0.25,0.8999999999999999
13,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,A4,A,A,0,4,69,9,0.125,1.5
14,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,G4,G,G,0,4,67,7,0.125,1.8
15,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,F4,F,F,0,4,65,5,0.125,2.1
16,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,E4,E,E,0,4,64,4,0.125,2.4
17,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,D4,D,D,0,4,62,2,0.375,0.8999999999999999
18,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,2,,,,note,A3,A,A,0,3,57,9,0.375,1.7999999999999998
19,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,D5,D,D,0,5,74,2,0.25,2.6999999999999997
20,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,A4,A,A,0,4,69,9,0.125,3.3
21,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,A5,A,A,0,5,81,9,0.125,3.5999999999999996
22,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,F5,F,F,0,5,77,5,0.125,3.8999999999999995
23,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,D5,D,D,0,5,74,2,0.125,4.199999999999999
24,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,D4,D,D,0,4,62,2,0.375,2.6999999999999993
25,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,F4,F,F,0,4,65,5,0.375,2.6999999999999993
26,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,F4,F,F,0,4,65,5,0.375,3.599999999999999
27,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,3,,,,note,A4,A,A,0,4,69,9,0.375,3.599999999999999
28,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,C#5,C#,C,1,5,73,1,0.125,4.499999999999999
29,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,E5,E,E,0,5,76,4,0.125,4.799999999999999
30,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,A4,A,A,0,4,69,9,0.125,5.099999999999999
31,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,D5,D,D,0,5,74,2,0.125,5.399999999999999
32,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,F5,F,F,0,5,77,5,0.125,5.699999999999998
33,..\data\scores\Kozeluch_Leopold\40op51no3b.mxl,Kozeluch_Leopold,40op51no3b,4,,,,note,G#4,G#,G,1,4,68,8,0.125,5.999999999999998
