,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,1,3,major,0,note,A4,A,A,0,4,69,9,0.25,0
1,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.5
2,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,1,3,major,0,rest,,,,,,,,0.25,0.0
3,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,1,3,major,0,rest,,,,,,,,0.125,0.5
4,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,C#5,C#,C,1,5,73,1,0.375,0.75
5,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,rest,,,,,,,,0.125,1.5
6,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,F#4,F#,F,1,4,66,6,0.125,1.75
7,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,G#4,G#,G,1,4,68,8,0.125,2.0
8,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,A3,A,A,0,3,57,9,0.125,0.75
9,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,C#3,C#,C,1,3,49,1,0.125,1.0
10,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,F#2,F#,F,1,2,42,6,0.125,1.25
11,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,A3,A,A,0,3,57,9,0.125,1.5
12,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,C#3,C#,C,1,3,49,1,0.125,1.75
13,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,2,,,,note,F#2,F#,F,1,2,42,6,0.125,2.0
14,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,G#4,G#,G,1,4,68,8,0.25,2.25
15,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,A4,A,A,0,4,69,9,0.125,2.75
16,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,rest,,,,,,,,0.125,3.0
17,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,F#4,F#,F,1,4,66,6,0.125,3.25
18,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,G#4,G#,G,1,4,68,8,0.125,3.5
19,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,B3,B,B,0,3,59,11,0.125,2.25
20,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,C#3,C#,C,1,3,49,1,0.125,2.5
21,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,E#3,E#,E,1,3,53,5,0.125,2.5
22,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,F#2,F#,F,1,2,42,6,0.125,2.75
23,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,A3,A,A,0,3,57,9,0.125,3.0
24,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,C#3,C#,C,1,3,49,1,0.125,3.25
25,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,3,,,,note,F#2,F#,F,1,2,42,6,0.125,3.5
26,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,4,,,,note,G#4,G#,G,1,4,68,8,0.1875,3.75
27,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,4,,,,note,B4,B,B,0,4,71,11,0.0625,4.125
28,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,4,,,,note,A4,A,A,0,4,69,9,0.125,4.25
29,data\scores\Alkan\4889371-Esquisse_Opus_63_No._43_in_F_Minor.mxl,Alkan,4889371-Esquisse_Opus_63_No._43_in_F_Minor,4,,,,rest,,,,,,,,0.125,4.5
