,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,G3,G,G,0,3,55,7,0.125,0
1,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,B3,B,B,0,3,59,11,0.125,0
2,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,E4,E,E,0,4,64,4,0.125,0
3,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,G4,G,G,0,4,67,7,0.125,0
4,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,rest,,,,,,,,0.125,0.2
5,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,E2,E,E,0,2,40,4,0.125,0.0
6,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,note,E3,E,E,0,3,52,4,0.125,0.0
7,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,1,1,major,0,rest,,,,,,,,0.125,0.2
8,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,G4,G,G,0,4,67,7,0.375,0.4
9,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,F#4,F#,F,1,4,66,6,0.125,1.0
10,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,G3,G,G,0,3,55,7,0.125,1.2
11,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E4,E,E,0,4,64,4,0.125,1.2
12,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,rest,,,,,,,,0.125,1.4
13,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,G3,G,G,0,3,55,7,0.5,0.3999999999999997
14,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,B3,B,B,0,3,59,11,0.5,0.3999999999999997
15,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E4,E,E,0,4,64,4,0.5,0.3999999999999997
16,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E2,E,E,0,2,40,4,0.5,0.3999999999999997
17,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E3,E,E,0,3,52,4,0.5,0.3999999999999997
18,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E2,E,E,0,2,40,4,0.125,1.1999999999999997
19,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,note,E3,E,E,0,3,52,4,0.125,1.1999999999999997
20,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,2,,,,rest,,,,,,,,0.125,1.3999999999999997
21,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,note,A3,A,A,0,3,57,9,0.125,1.5999999999999996
22,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,note,F#4,F#,F,1,4,66,6,0.125,1.5999999999999996
23,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,note,A4,A,A,0,4,69,9,0.125,1.5999999999999996
24,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,rest,,,,,,,,0.125,1.7999999999999996
25,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,rest,,,,,,,,0.25,1.9999999999999996
26,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,note,F#4,F#,F,1,4,66,6,0.25,2.3999999999999995
27,data\scores\Beethoven\53887-Sonata_No._27_1st_Movement.mxl,Beethoven,53887-Sonata_No._27_1st_Movement,3,,,,note,A4,A,A,0,4,69,9,0.25,2.3999999999999995
