,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.375,0
1,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,G4,G,G,0,4,67,7,0.375,0
2,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,G4,G,G,0,4,67,7,0.25,1.3043478260869565
3,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.25,1.3043478260869565
4,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,A4,A,A,0,4,69,9,0.125,2.1739130434782608
5,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,C5,C,C,0,5,72,0,0.125,2.1739130434782608
6,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.25,2.608695652173913
7,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D5,D,D,0,5,74,2,0.25,2.608695652173913
8,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.125,3.4782608695652173
9,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D5,D,D,0,5,74,2,0.125,3.4782608695652173
10,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,G2,G,G,0,2,43,7,0.125,0.0
11,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,0.43478260869565216
12,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,0.8695652173913043
13,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,G2,G,G,0,2,43,7,0.125,1.3043478260869565
14,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,1.7391304347826086
15,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,2.1739130434782608
16,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,G2,G,G,0,2,43,7,0.125,2.608695652173913
17,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,3.0434782608695654
18,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,3.4782608695652177
19,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,3.91304347826087
20,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,2,,,,note,D5,D,D,0,5,74,2,0.25,3.91304347826087
21,data\scores\Beethoven\55983-Sonate_No._25_2nd_Movement.mxl,Beethoven,55983-Sonate_No._25_2nd_Movement,2,,,,note,G4,G,G,0,4,67,7,0.125,4.782608695652175
