,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,1,0,major,0,note,G5,G,G,0,5,79,7,0.125,0
1,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,1,0,major,0,note,F#5,F#,F,1,5,78,6,0.125,0.13953488372093023
2,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,1,0,major,0,note,G5,G,G,0,5,79,7,0.125,0.27906976744186046
3,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,1,0,major,0,rest,,,,,,,,0.125,0.0
4,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,1,0,major,0,rest,,,,,,,,0.25,0.13953488372093023
5,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,2,,,,note,A5,A,A,0,5,81,9,0.25,0.41860465116279066
6,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,2,,,,note,G5,G,G,0,5,79,7,0.25,0.6976744186046511
7,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,2,,,,note,F5,F,F,0,5,77,5,0.25,0.9767441860465116
8,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,2,,,,rest,,,,,,,,0.25,0.4186046511627908
9,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,E5,E,E,0,5,76,4,0.25,1.255813953488372
10,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,D5,D,D,0,5,74,2,0.25,1.5348837209302326
11,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,C5,C,C,0,5,72,0,0.25,1.8139534883720931
12,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,rest,,,,,,,,0.25,1.2558139534883723
13,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,rest,,,,,,,,0.125,1.5348837209302328
14,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,E4,E,E,0,4,64,4,0.125,1.674418604651163
15,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,D4,D,D,0,4,62,2,0.125,1.8139534883720934
16,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,3,,,,note,E4,E,E,0,4,64,4,0.125,1.9534883720930236
17,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,4,,,,note,B4,B,B,0,4,71,11,0.75,2.0930232558139537
18,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,4,,,,note,F4,F,F,0,4,65,5,0.25,2.0930232558139537
19,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,4,,,,note,D4,D,D,0,4,62,2,0.25,2.372093023255814
20,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,4,,,,note,G4,G,G,0,4,67,7,0.25,2.6511627906976747
21,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,C5,C,C,0,5,72,0,0.75,2.930232558139535
22,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,E4,E,E,0,4,64,4,0.25,2.9302325581395356
23,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,D4,D,D,0,4,62,2,0.25,3.209302325581396
24,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,C4,C,C,0,4,60,0,0.25,3.4883720930232567
25,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,rest,,,,,,,,0.25,2.9302325581395356
26,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,rest,,,,,,,,0.125,3.209302325581396
27,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,G3,G,G,0,3,55,7,0.125,3.348837209302326
28,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,F#3,F#,F,1,3,54,6,0.125,3.4883720930232562
29,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,5,,,,note,G3,G,G,0,3,55,7,0.125,3.6279069767441863
30,data\scores\Beethoven\57607-Sonate_No._3_3rd_Movement.mxl,Beethoven,57607-Sonate_No._3_3rd_Movement,6,,,,note,D5,D,D,0,5,74,2,0.75,3.7674418604651163
