,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,A4,A,A,0,4,69,9,0.0625,0
1,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,B4,B,B,0,4,71,11,0.0625,0.17045415805873168
2,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.0625,0.34090831611746336
3,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,A4,A,A,0,4,69,9,0.0625,0.5113624741761951
4,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.125,0.6818166322349267
5,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.125,1.0227249483523901
6,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.0625,1.3636332644698534
7,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,D#5,D#,D,1,5,75,3,0.0625,1.5340874225285852
8,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,E5,E,E,0,5,76,4,0.125,1.704541580587317
9,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.0625,2.0454498967047803
10,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,E5,E,E,0,5,76,4,0.0625,2.215904054763512
11,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.0625,2.386358212822244
12,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,G5,G,G,0,5,79,7,0.0625,2.5568123708809756
13,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.5,4.440892098500626e-16
14,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.25,1.363633264469854
15,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.125,2.0454498967047807
16,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,E4,E,E,0,4,64,4,0.125,2.3863582128222443
17,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,A2,A,A,0,2,45,9,0.25,8.881784197001252e-16
18,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,A3,A,A,0,3,57,9,0.25,0.6818166322349276
19,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,G#3,G#,G,1,3,56,8,0.25,1.3636332644698543
20,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,1,3,major,0,note,G3,G,G,0,3,55,7,0.25,2.045449896704781
21,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,2,,,,note,A5,A,A,0,5,81,9,0.0625,2.727266528939708
22,data\scores\Bach\667506-Prelude_No._19_BWV_864_in_A_Major.mxl,Bach,667506-Prelude_No._19_BWV_864_in_A_Major,2,,,,note,G5,G,G,0,5,79,7,0.0625,2.8977206869984395
