,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.25,0
1,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.125,0.0
2,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.125,0.2830188679245283
3,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.125,0.5660377358490566
4,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.125,0.8490566037735849
5,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,1.1320754716981132
6,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,1.4150943396226414
7,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.125,1.6981132075471697
8,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.125,1.981132075471698
9,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.125,2.2641509433962264
10,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,1,3,major,0,rest,,,,,,,,0.25,0.0
11,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,2.547169811320755
12,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,2.8301886792452833
13,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.125,3.1132075471698117
14,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,3.39622641509434
15,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.125,3.6792452830188687
16,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,3.962264150943397
17,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,4.245283018867926
18,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,4.528301886792454
19,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,4.811320754716982
20,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,2.547169811320755
21,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,rest,,,,,,,,0.125,2.8301886792452833
22,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,rest,,,,,,,,0.125,3.1132075471698117
23,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,rest,,,,,,,,0.125,3.39622641509434
24,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,3.6792452830188687
25,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,3.962264150943397
26,data\scores\Bach\674796-Fugue_No._19_BWV_864_in_A_Major.mxl,Bach,674796-Fugue_No._19_BWV_864_in_A_Major,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,4.245283018867926
