,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,D4,D,D,0,4,62,2,0.125,0
1,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,E4,E,E,0,4,64,4,0.125,0.26785714285714285
2,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,F4,F,F,0,4,65,5,0.125,0.5357142857142857
3,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,G4,G,G,0,4,67,7,0.125,0.8035714285714286
4,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,A4,A,A,0,4,69,9,0.25,1.0714285714285714
5,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0,0
6,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,1.6071428571428572
7,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,G4,G,G,0,4,67,7,0.125,1.875
8,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,D2,D,D,0,2,38,2,0.125,0.0
9,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,D3,D,D,0,3,50,2,0.125,0.0
10,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,E2,E,E,0,2,40,4,0.125,0.26785714285714285
11,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,E3,E,E,0,3,52,4,0.125,0.26785714285714285
12,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,F2,F,F,0,2,41,5,0.125,0.5357142857142857
13,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,F3,F,F,0,3,53,5,0.125,0.5357142857142857
14,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,G2,G,G,0,2,43,7,0.125,0.8035714285714286
15,data\scores\Alkan\683261-Prelude_Opus_31_No._20_in_D_Minor.mxl,Alkan,683261-Prelude_Opus_31_No._20_in_D_Minor,1,-1,major,0,note,G3,G,G,0,3,55,7,0.125,0.8035714285714286
