,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.375,0
1,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,G4,G,G,0,4,67,7,0.375,0
2,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,C5,C,C,0,5,72,0,0.375,0
3,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,rest,,,,,,,,0.0625,0.4568527918781726
4,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,G4,G,G,0,4,67,7,0.0625,0.5329949238578681
5,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,Eb5,Eb,E,-1,5,75,3,0.1875,0.6091370558375635
6,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,C5,C,C,0,5,72,0,0.0625,0.8375634517766498
7,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,C3,C,C,0,3,48,0,0.375,0.0
8,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,Eb3,Eb,E,-1,3,51,3,0.375,0.0
9,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,G3,G,G,0,3,55,7,0.375,0.0
10,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,note,C4,C,C,0,4,60,0,0.375,0.0
11,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,rest,,,,,,,,0.125,0.4568527918781726
12,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,1,-3,major,0,rest,,,,,,,,0.25,0.6091370558375635
13,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,note,G5,G,G,0,5,79,7,0.1875,0.9137055837563453
14,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,1.1421319796954315
15,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,note,C6,C,C,0,6,84,0,0.1875,1.218274111675127
16,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,note,G5,G,G,0,5,79,7,0.0625,1.4467005076142132
17,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,note,Eb6,Eb,E,-1,6,87,3,0.25,1.5228426395939088
18,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,2,,,,rest,,,,,,,,0.25,0.9137055837563453
19,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,note,Eb6,Eb,E,-1,6,87,3,0.25,1.8274111675126905
20,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,rest,,,,,,,,0.25,2.1319796954314723
21,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,note,G4,G,G,0,4,67,7,0.25,2.436548223350254
22,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,note,C5,C,C,0,5,72,0,0.25,2.436548223350254
23,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,rest,,,,,,,,0.25,1.8274111675126905
24,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,rest,,,,,,,,0.25,2.1319796954314723
25,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,note,C4,C,C,0,4,60,0,0.25,2.436548223350254
26,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.25,2.436548223350254
27,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,G4,G,G,0,4,67,7,0.5,2.7411167512690358
28,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,C5,C,C,0,5,72,0,0.5,2.7411167512690358
29,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,G4,G,G,0,4,67,7,0.25,3.3502538071065993
30,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,B4,B,B,0,4,71,11,0.25,3.3502538071065993
31,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,C4,C,C,0,4,60,0,0.5,2.7411167512690358
32,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,Eb4,Eb,E,-1,4,63,3,0.5,2.7411167512690358
33,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,D4,D,D,0,4,62,2,0.25,3.3502538071065993
34,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,4,,,,note,F4,F,F,0,4,65,5,0.25,3.3502538071065993
35,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,F4,F,F,0,4,65,5,0.375,3.654822335025381
36,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,Ab4,Ab,A,-1,4,68,8,0.375,3.654822335025381
37,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,B4,B,B,0,4,71,11,0.375,3.654822335025381
38,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,rest,,,,,,,,0.0625,4.111675126903553
39,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,B4,B,B,0,4,71,11,0.0625,4.187817258883249
40,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,F5,F,F,0,5,77,5,0.1875,4.2639593908629445
41,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,D5,D,D,0,5,74,2,0.0625,4.492385786802031
42,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,D3,D,D,0,3,50,2,0.375,3.6548223350253815
43,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,F3,F,F,0,3,53,5,0.375,3.6548223350253815
44,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,Ab3,Ab,A,-1,3,56,8,0.375,3.6548223350253815
45,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,B3,B,B,0,3,59,11,0.375,3.6548223350253815
46,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,note,D4,D,D,0,4,62,2,0.375,3.6548223350253815
47,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,rest,,,,,,,,0.125,4.111675126903554
48,data\scores\Beethoven\69303-Sonate_No._5_1st_Movement.mxl,Beethoven,69303-Sonate_No._5_1st_Movement,5,,,,rest,,,,,,,,0.25,4.263959390862945
