,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,rest,,,,,,,,0.125,0
1,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,C3,C,C,0.0,3,48.0,0.0,0.09375,1.5
2,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,C3,C,C,0.0,3,48.0,0.0,0.03125,2.625
3,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,3.0
4,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,rest,,,,,,,,0.125,4.5
5,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.09375,6.0
6,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.03125,7.125
7,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,7.5
8,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,F1,F,F,0.0,1,29.0,5.0,0.375,0.0
9,data\scores\Beethoven\72802-Sonate_No._21_Waldstein_2nd_Movement.mxl,Beethoven,72802-Sonate_No._21_Waldstein_2nd_Movement,1,-1,major,0,note,F2,F,F,0.0,2,41.0,5.0,0.375,0.0
