,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.1875,0
1,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.9375
2,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,1,-6,major,0,rest,,,,,,,,0.25,0.0
3,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,1.25
4,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,2.5
5,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,3.4375
6,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Cb5,Cb,C,-1,5,83,11,0.25,3.75
7,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,5.0
8,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,F5,F,F,0,5,77,5,0.0625,5.9375
9,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.5,2.5
10,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,rest,,,,,,,,0.25,1.25
11,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Cb4,Cb,C,-1,4,71,11,0.1875,2.5
12,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.0625,3.4375
13,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,note,Ab3,Ab,A,-1,3,56,8,0.25,3.75
14,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,2,,,,rest,,,,,,,,0.25,5.0
15,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Eb5,Eb,E,-1,5,75,3,0.25,6.25
16,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,D5,D,D,0,5,74,2,0.1875,7.5
17,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,8.4375
18,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,F5,F,F,0,5,77,5,0.25,8.75
19,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Gb5,Gb,G,-1,5,78,6,0.1875,10.0
20,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,10.9375
21,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.5,7.5
22,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Cb5,Cb,C,-1,5,83,11,0.5,7.5
23,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Gb4,Gb,G,-1,4,66,6,0.25,10.0
24,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,rest,,,,,,,,0.25,6.25
25,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,F4,F,F,0,4,65,5,0.1875,7.5
26,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.0625,8.4375
27,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,D4,D,D,0,4,62,2,0.25,8.75
28,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Eb3,Eb,E,-1,3,51,3,0.1875,10.0
29,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,3,,,,note,Gb3,Gb,G,-1,3,54,6,0.0625,10.9375
30,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.4375,11.25
31,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Gb4,Gb,G,-1,4,66,6,0.0625,13.4375
32,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,13.75
33,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,15.0
34,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Gb4,Gb,G,-1,4,66,6,0.0625,15.9375
35,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Gb4,Gb,G,-1,4,66,6,0.5,11.25
36,data\scores\Alkan\753291-Prelude_Opus_31_No._22_in_E_Minor.mxl,Alkan,753291-Prelude_Opus_31_No._22_in_E_Minor,4,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,13.75
