,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0
1,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,A4,A,A,0,4,69,9,0.0625,0.11363636363636363
2,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,C#4,C#,C,1,4,61,1,0.0625,0.22727272727272727
3,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.3409090909090909
4,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,E5,E,E,0,5,76,4,0.0625,0.45454545454545453
5,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,A4,A,A,0,4,69,9,0.0625,0.5681818181818181
6,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,B4,B,B,0,4,71,11,0.125,0.3409090909090909
7,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,A4,A,A,0,4,69,9,0.0625,0.5681818181818181
8,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,rest,,,,,,,,0.125,0.0
9,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,G3,G,G,0,3,55,7,0.0625,0.22727272727272727
10,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,A2,A,A,0,2,45,9,0.0625,0.3409090909090909
11,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,G3,G,G,0,3,55,7,0.0625,0.45454545454545453
12,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,1,2,major,0,note,E4,E,E,0,4,64,4,0.0625,0.5681818181818181
13,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,2,,,,note,C#4,C#,C,1,4,61,1,0.0625,0.6818181818181818
14,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.7954545454545454
15,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,2,,,,note,E5,E,E,0,5,76,4,0.0625,0.9090909090909091
16,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,2,,,,note,A4,A,A,0,4,69,9,0.0625,1.0227272727272727
17,..\data\scores\Chopin_Frederic\75900-24_Preludes_from_Chopins_Opus_28_5.mxl,Chopin_Frederic,75900-24_Preludes_from_Chopins_Opus_28_5,2,,,,note,C#4,C#,C,1,4,61,1,0.0625,1.1363636363636362
