,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.25,0
1,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.5,0.0
2,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.125,1.7647110726796258
3,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,2.205888840849532
4,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,B#4,B#,B,1.0,4,60.0,0.0,0.125,2.6470666090194386
5,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,3.088244377189345
6,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.125,0.0
7,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.125,0.44117776816990645
8,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,E#3,E#,E,1.0,3,53.0,5.0,0.125,0.8823555363398129
9,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,C#3,C#,C,1.0,3,49.0,1.0,0.125,1.3235333045097193
10,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,G#3,G#,G,1.0,3,56.0,8.0,0.125,1.7647110726796258
11,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.125,2.205888840849532
12,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,note,F#3,F#,F,1.0,3,54.0,6.0,0.125,2.6470666090194386
13,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,1,7,major,0,rest,,,,,,,,0.125,3.088244377189345
14,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,3.5294221453592516
15,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,rest,,,,,,,,0.125,3.970599913529158
16,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,4.411777681699064
17,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,rest,,,,,,,,0.125,4.85295544986897
18,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.0625,5.294133218038876
19,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,5.514722102123829
20,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,5.735310986208782
21,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,6.176488754378688
22,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,6.397077638463641
23,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.0625,6.617666522548594
24,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,6.8382554066335475
25,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,rest,,,,,,,,0.125,3.529422145359249
26,data\scores\Bach\978656-Fugue_No._3_BWV_872_in_C_Major.mxl,Bach,978656-Fugue_No._3_BWV_872_in_C_Major,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,3.9705999135291554
