,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,F4,F,F,0,4,65,5,0.125,0
1,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,F4,F,F,0,4,65,5,0.125,0.25
2,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,F4,F,F,0,4,65,5,0.125,0.5
3,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,D4,D,D,0,4,62,2,0.125,0.75
4,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,F4,F,F,0,4,65,5,0.25,1.0
5,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,E4,E,E,0,4,64,4,0.125,1.5
6,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,D4,D,D,0,4,62,2,0.125,1.75
7,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,D4,D,D,0,4,62,2,0.125,2.0
8,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,C4,C,C,0,4,60,0,0.125,2.25
9,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,B3,B,B,0,3,59,11,0.125,2.5
10,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,C4,C,C,0,4,60,0,0.0625,2.75
11,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,A3,A,A,0,3,57,9,0.0625,2.875
12,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,3,,,,note,C4,C,C,0,4,60,0,0.125,3.0
13,..\data\scores\Binchois_Gilles\Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Adieu-m-amour_Binchois-Gilles-de-Bins-dit_file2,3,,,,rest,,,,,,,,0.125,3.25
