,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,1,0,major,0,note,E4,E,E,0,4,64,4,0.5,0
1,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,1,0,major,0,note,E4,E,E,0,4,64,4,0.5,1.0
2,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,1,0,major,0,note,E4,E,E,0,4,64,4,0.25,2.0
3,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,1,0,major,0,note,F4,F,F,0,4,65,5,0.25,2.5
4,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,2,,,,note,G4,G,G,0,4,67,7,0.5,3.0
5,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,2,,,,note,A4,A,A,0,4,69,9,0.75,4.0
6,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,2,,,,note,G4,G,G,0,4,67,7,0.25,5.5
7,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,3,,,,note,B4,B,B,0,4,71,11,0.5,6.0
8,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,3,,,,note,C5,C,C,0,5,72,0,0.75,7.0
9,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,3,,,,note,B4,B,B,0,4,71,11,0.25,8.5
10,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,4,,,,note,G4,G,G,0,4,67,7,0.5,9.0
11,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,4,,,,note,B4,B,B,0,4,71,11,0.75,10.0
12,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,4,,,,note,A4,A,A,0,4,69,9,0.25,11.5
13,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,5,,,,note,A4,A,A,0,4,69,9,0.25,12.0
14,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,5,,,,note,E4,E,E,0,4,64,4,0.25,12.5
15,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,5,,,,note,A4,A,A,0,4,69,9,0.25,13.0
16,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,5,,,,note,G4,G,G,0,4,67,7,0.5,13.5
17,..\data\scores\Binchois_Gilles\Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3.xml,Binchois_Gilles,Adieu-mon-amoureuse-joye_Binchois-Gilles-de-Bins-dit_file3,5,,,,note,F4,F,F,0,4,65,5,0.25,14.5
