,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,0
1,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,D5,D,D,0,5,74,2,0.125,0.22058823529411764
2,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,rest,,,,,,,,0.0625,0.4411764705882353
3,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,E5,E,E,0,5,76,4,0.0625,0.5514705882352942
4,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,F5,F,F,0,5,77,5,0.125,0.661764705882353
5,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,rest,,,,,,,,0.0625,0.8823529411764707
6,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,G5,G,G,0,5,79,7,0.0625,0.9926470588235294
7,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,D3,D,D,0,3,50,2,0.125,0.0
8,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,F3,F,F,0,3,53,5,0.125,0.0
9,..\data\scores\Alkan_CharlesValentin\Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl,Alkan_CharlesValentin,Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz,1,-1,major,0,note,A3,A,A,0,3,57,9,0.125,0.0
