,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,0
1,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,0.5
2,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,1.0
3,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,A4,A,A,0,4,69,9,0.25,1.5
4,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.375,2.0
5,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,2,,,,note,A4,A,A,0,4,69,9,0.125,2.75
6,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,3,,,,note,F4,F,F,0,4,65,5,0.25,3.0
7,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,3,,,,note,E4,E,E,0,4,64,4,0.375,3.5
8,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,3,,,,note,D4,D,D,0,4,62,2,0.125,4.25
9,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,4,,,,note,D4,D,D,0,4,62,2,0.25,4.5
10,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,4,,,,note,G4,G,G,0,4,67,7,0.375,5.0
11,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,4,,,,note,E4,E,E,0,4,64,4,0.125,5.75
12,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,5,,,,note,F4,F,F,0,4,65,5,0.25,6.0
13,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,5,,,,note,G4,G,G,0,4,67,7,0.125,6.5
14,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,5,,,,note,A4,A,A,0,4,69,9,0.25,6.75
15,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,5,,,,note,F4,F,F,0,4,65,5,0.125,7.25
16,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,6,,,,note,E4,E,E,0,4,64,4,0.5,7.5
17,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,6,,,,rest,,,,,,,,0.25,8.5
18,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,7,,,,note,F#4,F#,F,1,4,66,6,0.25,9.0
19,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,7,,,,note,F#4,F#,F,1,4,66,6,0.25,9.5
20,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,7,,,,note,F#4,F#,F,1,4,66,6,0.25,10.0
21,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,8,,,,note,G4,G,G,0,4,67,7,0.125,10.5
22,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,8,,,,note,A4,A,A,0,4,69,9,0.125,10.75
23,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.375,11.0
24,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,8,,,,note,A4,A,A,0,4,69,9,0.125,11.75
25,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,9,,,,note,F4,F,F,0,4,65,5,0.25,12.0
26,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,9,,,,note,E4,E,E,0,4,64,4,0.375,12.5
27,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,9,,,,note,D4,D,D,0,4,62,2,0.125,13.25
28,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,10,,,,note,F4,F,F,0,4,65,5,0.25,13.5
29,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,10,,,,rest,,,,,,,,0.125,14.0
30,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,10,,,,note,A4,A,A,0,4,69,9,0.25,14.25
31,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,10,,,,note,F4,F,F,0,4,65,5,0.125,14.75
32,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,11,,,,note,G4,G,G,0,4,67,7,0.25,15.0
33,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,11,,,,note,F4,F,F,0,4,65,5,0.125,15.5
34,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,11,,,,note,E4,E,E,0,4,64,4,0.25,15.75
35,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,11,,,,note,D4,D,D,0,4,62,2,0.125,16.25
36,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,12,,,,note,D4,D,D,0,4,62,2,0.375,16.5
37,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,12,,,,note,C#4,C#,C,1,4,61,1,0.125,17.25
38,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,12,,,,note,C#4,C#,C,1,4,61,1,0.125,17.5
39,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,12,,,,note,B3,B,B,0,3,59,11,0.125,17.75
40,..\data\scores\Binchois_Gilles\Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2.xml,Binchois_Gilles,Amours-et-souvenir_Binchois-Gilles-de-Bins-dit_file2,13,,,,note,D4,D,D,0,4,62,2,0.75,18.0
