,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,rest,,,,,,,,0.0625,0
1,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.0625,0.125
2,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,0.25
3,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.0625,0.375
4,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.125,0.5
5,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.125,0.75
6,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.0625,1.0
7,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.0625,1.125
8,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.0625,1.25
9,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.0625,1.375
10,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.125,1.5
11,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.125,1.75
12,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,rest,,,,,,,,0.25,0.0
13,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.125,0.0
14,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.125,0.25
15,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.125,0.5
16,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.125,0.75
17,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,1.0
18,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.25
19,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,1.5
20,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,1,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,1.75
21,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,G5,G,G,0.0,5,79.0,7.0,0.0625,2.0
22,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,F5,F,F,0.0,5,77.0,5.0,0.0625,2.125
23,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.0625,2.25
24,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,2.375
25,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.25,2.5
26,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.0625,3.0
27,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.0625,3.125
28,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.0625,3.25
29,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.0625,3.375
30,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.1875,3.5
31,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.0625,3.875
32,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,rest,,,,,,,,0.0625,2.0
33,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,2.125
34,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,2.25
35,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,2.375
36,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,2.5
37,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,2.75
38,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,3.0
39,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,3.125
40,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,3.25
41,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,3.375
42,..\data\scores\Bach_JohannSebastian\Bach_BWV_790.musicxml,Bach_JohannSebastian,Bach_BWV_790,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,3.5
