,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,1,-1,major,0,note,G4,G,G,0,4,67,7,0.5,0
1,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,1,-1,major,0,note,G#4,G#,G,1,4,68,8,0.5,1.1111111111111112
2,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,2,,,,note,G#4,G#,G,1,4,68,8,0.5,2.2222222222222223
3,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,2,,,,note,A4,A,A,0,4,69,9,0.5,3.3333333333333335
4,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,3,,,,note,A4,A,A,0,4,69,9,0.5,4.444444444444445
5,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,3,,,,note,A4,A,A,0,4,69,9,0.25,5.555555555555555
6,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,3,,,,note,B4,B,B,0,4,71,11,0.25,6.111111111111111
7,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,4,,,,note,D5,D,D,0,5,74,2,0.5,6.666666666666666
8,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,4,,,,note,C#5,C#,C,1,5,73,1,0.5,7.777777777777777
9,..\data\scores\Gesualdo_Carlo\Belta_poi_che_t'assenti_Gesualdo.mxl,Gesualdo_Carlo,Belta_poi_che_t'assenti_Gesualdo,5,,,,rest,,,,,,,,0.5,8.888888888888888
