,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,1.0,0
1,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,G4,G,G,0,4,67,7,1.0,0
2,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,Bb4,Bb,B,-1,4,70,10,1.0,0
3,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,Eb5,Eb,E,-1,5,75,3,1.0,0
4,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,G2,G,G,0,2,43,7,0.0,0
5,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,G2,G,G,0,2,43,7,1.0,0.0
6,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,Bb2,Bb,B,-1,2,46,10,1.0,0.0
7,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,Eb3,Eb,E,-1,3,51,3,1.0,0.0
8,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,1,-3,major,0,note,G3,G,G,0,3,55,7,1.0,0.0
9,..\data\scores\Mussorgski_Modest\Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev.mxl,Mussorgski_Modest,Bogatyrskie_vorota_V_stolnom_gorode_vo_Kieve_The_Great_Gate_of_Kiev,2,,,,note,F4,F,F,0,4,65,5,1.0,1.8181818181818181
