,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,Db5,Db,D,-1,5,73,1,0.03125,0
1,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,C5,C,C,0,5,72,0,0.03125,0.0625
2,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,Gb4,Gb,G,-1,4,66,6,0.03125,0.125
3,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,C4,C,C,0,4,60,0,0.03125,0.1875
4,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,C5,C,C,0,5,72,0,0.03125,0.25
5,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,rest,,,,,,,,0.03125,0.0
6,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,note,Eb2,Eb,E,-1,2,39,3,0.0625,0.0625
7,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,rest,,,,,,,,0.03125,0.1875
8,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,1,-5,major,0,rest,,,,,,,,0.03125,0.25
9,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.03125,0.3125
10,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,2,,,,note,F4,F,F,0,4,65,5,0.03125,0.375
11,data\scores\Brahms\Brahms_117_2.0_0.0.xml,Brahms,Brahms_117_2.0_0.0,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.03125,0.4375
