,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0
1,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,B4,B,B,0,4,71,11,0.125,0.4
2,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,A4,A,A,0,4,69,9,0.125,0.0
3,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.4
4,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,A2,A,A,0,2,45,9,0.25,0.0
5,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,note,E3,E,E,0,3,52,4,0.25,0.0
6,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,rest,,,,,,,,0.125,0.0
7,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,1,3,major,0,rest,,,,,,,,0.125,0.4
8,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,F#4,F#,F,1,4,66,6,0.5,0.8
9,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,D5,D,D,0,5,74,2,0.5,0.8
10,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.4000000000000004
11,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,B4,B,B,0,4,71,11,0.125,2.8000000000000003
12,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,F#4,F#,F,1,4,66,6,0.125,0.7999999999999998
13,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,D4,D,D,0,4,62,2,0.125,1.1999999999999997
14,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,A3,A,A,0,3,57,9,0.125,1.5999999999999996
15,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,F#3,F#,F,1,3,54,6,0.125,1.9999999999999996
16,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,A4,A,A,0,4,69,9,0.125,2.3999999999999995
17,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,G#4,G#,G,1,4,68,8,0.125,2.7999999999999994
18,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,A1,A,A,0,1,33,9,0.25,0.7999999999999989
19,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.25,1.599999999999999
20,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,A2,A,A,0,2,45,9,0.25,2.399999999999999
21,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,note,D3,D,D,0,3,50,2,0.25,2.399999999999999
22,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,0.7999999999999989
23,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,1.1999999999999988
24,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,1.5999999999999988
25,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,1.9999999999999987
26,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,2.3999999999999986
27,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,2,,,,rest,,,,,,,,0.125,2.7999999999999985
28,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,F#4,F#,F,1,4,66,6,0.5,3.1999999999999984
29,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,A5,A,A,0,5,81,9,0.5,3.1999999999999984
30,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,A4,A,A,0,4,69,9,0.1875,4.799999999999999
31,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,B4,B,B,0,4,71,11,0.0625,5.399999999999999
32,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,F#4,F#,F,1,4,66,6,0.5,3.1999999999999984
33,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,F#4,F#,F,1,4,66,6,0.25,4.799999999999999
34,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,A1,A,A,0,1,33,9,0.125,3.1999999999999984
35,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,D3,D,D,0,3,50,2,0.125,3.5999999999999983
36,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,A2,A,A,0,2,45,9,0.125,3.9999999999999982
37,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,F#2,F#,F,1,2,42,6,0.125,4.399999999999999
38,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,D2,D,D,0,2,38,2,0.125,4.799999999999999
39,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,3,,,,note,D3,D,D,0,3,50,2,0.125,5.199999999999999
40,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,B4,B,B,0,4,71,11,0.1875,5.6
41,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,E5,E,E,0,5,76,4,0.0625,6.199999999999999
42,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,E5,E,E,0,5,76,4,0.25,6.3999999999999995
43,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,D5,D,D,0,5,74,2,0.25,7.199999999999999
44,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,E4,E,E,0,4,64,4,0.25,5.599999999999999
45,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,G#4,G#,G,1,4,68,8,0.25,5.599999999999999
46,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,E4,E,E,0,4,64,4,0.25,6.399999999999999
47,data\scores\Brahms\Brahms_118_2.0_0.0.mxl,Brahms,Brahms_118_2.0_0.0,4,,,,note,A4,A,A,0,4,69,9,0.25,6.399999999999999
