,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,rest,,,,,,,,0.125,0
1,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,0.25
2,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,C6,C,C,0.0,6,84.0,0.0,0.25,0.25
3,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,0.75
4,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Cb6,Cb,C,-1.0,6,95.0,11.0,0.25,0.75
5,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Db5,Db,D,-1.0,5,73.0,1.0,0.25,1.25
6,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Bb5,Bb,B,-1.0,5,82.0,10.0,0.25,1.25
7,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,1.75
8,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Fb5,Fb,F,-1.0,5,76.0,4.0,0.125,1.75
9,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.125,0.0
10,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,0.0
11,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,0.25
12,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,0.5
13,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,0.75
14,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,0.75
15,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.125,1.0
16,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,1.0
17,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,1.25
18,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.125,1.5
19,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,1.75
20,data\scores\Brahms\Brahms_76_3.mxl,Brahms,Brahms_76_3,1,-4,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.125,1.75
