,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,1,0,major,0,note,B3,B,B,0,3,59,11,0.75,0
1,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,1,0,major,0,note,B1,B,B,0,1,35,11,0.75,0.0
2,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,1,0,major,0,note,B2,B,B,0,2,47,11,0.75,0.0
3,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,2,,,,note,G3,G,G,0,3,55,7,0.75,4.7368421052631575
4,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,2,,,,note,G1,G,G,0,1,31,7,0.75,4.7368421052631575
5,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,2,,,,note,G2,G,G,0,2,43,7,0.75,4.7368421052631575
6,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,3,,,,note,G4,G,G,0,4,67,7,0.75,9.473684210526315
7,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,3,,,,note,G2,G,G,0,2,43,7,0.75,9.473684210526315
8,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,3,,,,note,G3,G,G,0,3,55,7,0.75,9.473684210526315
9,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,4,,,,note,B3,B,B,0,3,59,11,0.75,14.210526315789473
10,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,4,,,,note,G3,G,G,0,3,55,7,0.75,14.210526315789473
11,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,4,,,,note,F#4,F#,F,1,4,66,6,0.75,14.210526315789473
12,..\data\scores\Mussorgski_Modest\Catacumbae_Sepulcrum_Romanum.mxl,Mussorgski_Modest,Catacumbae_Sepulcrum_Romanum,4,,,,note,D2,D,D,0,2,38,2,0.75,14.210526315789473
