,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,A4,A,A,0,4,69,9,0.0625,0
1,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.125
2,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,B4,B,B,0,4,71,11,0.0625,0.25
3,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,C5,C,C,0,5,72,0,0.0625,0.375
4,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,F4,F,F,0,4,65,5,0.25,0.5
5,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,A3,A,A,0,3,57,9,0.125,0.0
6,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,C4,C,C,0,4,60,0,0.125,0.0
7,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,F4,F,F,0,4,65,5,0.125,0.0
8,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,C3,C,C,0,3,48,0,0.25,0.25
9,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,A3,A,A,0,3,57,9,0.125,0.75
10,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,1,-1,major,0,note,C4,C,C,0,4,60,0,0.125,0.75
11,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,E4,E,E,0,4,64,4,0.125,1.0
12,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,A4,A,A,0,4,69,9,0.125,1.0
13,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,A4,A,A,0,4,69,9,0.125,1.25
14,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,E5,E,E,0,5,76,4,0.25,1.5
15,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,E3,E,E,0,3,52,4,0.375,1.0
16,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,A3,A,A,0,3,57,9,0.375,1.0
17,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,C#4,C#,C,1,4,61,1,0.375,1.0
18,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,2,,,,note,A2,A,A,0,2,45,9,0.125,1.75
19,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,E4,E,E,0,4,64,4,0.125,2.0
20,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,A4,A,A,0,4,69,9,0.125,2.0
21,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,A4,A,A,0,4,69,9,0.125,2.25
22,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,E5,E,E,0,5,76,4,0.25,2.5
23,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,F#3,F#,F,1,3,54,6,0.375,2.0
24,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,A3,A,A,0,3,57,9,0.375,2.0
25,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,C4,C,C,0,4,60,0,0.375,2.0
26,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,3,,,,note,F#2,F#,F,1,2,42,6,0.125,2.75
27,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,E4,E,E,0,4,64,4,0.125,3.0
28,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,G4,G,G,0,4,67,7,0.125,3.0
29,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,E4,E,E,0,4,64,4,0.125,3.25
30,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,G4,G,G,0,4,67,7,0.125,3.25
31,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,A4,A,A,0,4,69,9,0.125,3.5
32,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,C5,C,C,0,5,72,0,0.125,3.5
33,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,A4,A,A,0,4,69,9,0.125,3.75
34,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,C5,C,C,0,5,72,0,0.125,3.75
35,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,G3,G,G,0,3,55,7,0.125,3.0
36,data\scores\Chaminade\Chaminade_AlbumEnfants2_08.mxl,Chaminade,Chaminade_AlbumEnfants2_08,4,,,,note,C4,C,C,0,4,60,0,0.125,3.0
