,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,D4,D,D,0,4,62,2,0.25,0
1,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,B4,B,B,0,4,71,11,0.25,0
2,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,D5,D,D,0,5,74,2,0.25,0
3,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,E5,E,E,0,5,76,4,0.0,0
4,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0.5
5,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,D5,D,D,0,5,74,2,0.125,0.5
6,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,C5,C,C,0,5,72,0,0.125,0.75
7,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,C5,C,C,0,5,72,0,0.125,1.0
8,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,1.25
9,data\scores\Chaminade\Chaminade_DansesAnciennes_02.mxl,Chaminade,Chaminade_DansesAnciennes_02,1,1,major,0,note,D4,D,D,0,4,62,2,0.25,0.5
