,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.25,0
1,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,1,4,major,0,rest,,,,,,,,0.25,0.0
2,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,G#4,G#,G,1,4,68,8,0.75,0.41379310344827586
3,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,E5,E,E,0,5,76,4,0.75,0.41379310344827586
4,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,C#2,C#,C,1,2,37,1,0.25,0.4137931034482758
5,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,G#3,G#,G,1,3,56,8,0.25,0.8275862068965516
6,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,C#4,C#,C,1,4,61,1,0.25,0.8275862068965516
7,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,E4,E,E,0,4,64,4,0.25,0.8275862068965516
8,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,G#3,G#,G,1,3,56,8,0.25,1.2413793103448274
9,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,C#4,C#,C,1,4,61,1,0.25,1.2413793103448274
10,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,2,,,,note,E4,E,E,0,4,64,4,0.25,1.2413793103448274
11,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,3,,,,note,Fx4,Fx,F,2,4,67,7,0.75,1.6551724137931032
12,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,3,,,,note,D#5,D#,D,1,5,75,3,0.75,1.6551724137931032
13,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,3,,,,note,D#2,D#,D,1,2,39,3,0.25,1.655172413793103
14,..\data\scores\Chopin_Frederic\Chopin__Trois_Valses_2.musicxml,Chopin_Frederic,Chopin__Trois_Valses_2,3,,,,note,D#3,D#,D,1,3,51,3,0.25,2.068965517241379
