,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,D6,D,D,0,6,86,2,0.125,0
1,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,F#6,F#,F,1,6,90,6,0.125,0
2,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,A6,A,A,0,6,93,9,0.125,0
3,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,D7,D,D,0,7,98,2,0.125,0
4,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,rest,,,,,,,,0.125,0.15
5,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,rest,,,,,,,,0.125,0.3
6,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,F#3,F#,F,1,3,54,6,0.375,0.44999999999999996
7,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,A3,A,A,0,3,57,9,0.375,0.44999999999999996
8,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,D4,D,D,0,4,62,2,0.375,0.44999999999999996
9,data\scores\Alkan\Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl,Alkan,Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor,1,3,major,0,note,E3,E,E,0,3,52,4,0.0625,1.307142857142857
