,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,1,0,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,2,,,,rest,,,,,,,,1.0,2.0
2,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,3,,,,rest,,,,,,,,1.0,4.0
3,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,4,,,,rest,,,,,,,,1.0,6.0
4,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,5,,,,rest,,,,,,,,1.0,8.0
5,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,6,,,,rest,,,,,,,,1.0,10.0
6,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,7,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,12.0
7,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,7,,,,note,E5,E,E,0.0,5,76.0,4.0,0.375,13.0
8,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,7,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,13.75
9,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,8,,,,note,F5,F,F,0.0,5,77.0,5.0,0.375,14.0
10,..\data\scores\Mozart_WolfgangAmadeus\Confutatis.xml,Mozart_WolfgangAmadeus,Confutatis,8,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,14.75
