,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,1,-4,major,0,note,Ab4,Ab,A,-1,4,68,8,0.0625,0
1,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,1,-4,major,0,note,Ab4,Ab,A,-1,4,68,8,0.1875,0.22058888408495322
2,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,1,-4,major,0,note,Ab4,Ab,A,-1,4,68,8,0.0625,0.8823555363398129
3,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.25,1.102944420424766
4,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.125,1.985299956764579
5,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,rest,,,,,,,,0.0625,2.4264777249344855
6,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,2.6470666090194386
7,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,note,G4,G,G,0,4,67,7,0.1875,2.8676554931043916
8,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,3.529422145359251
9,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.25,3.750011029444204
10,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,3,,,,rest,,,,,,,,0.1875,4.632366565784017
11,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,5.294133218038877
12,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.1875,5.51472210212383
13,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,3,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,6.17648875437869
14,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.25,6.397077638463643
15,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.125,7.279433174803456
16,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,rest,,,,,,,,0.0625,7.720610942973362
17,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,7.941199827058315
18,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,note,G4,G,G,0,4,67,7,0.1875,8.161788711143268
19,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,8.823555363398128
20,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,5,,,,note,Ab4,Ab,A,-1,4,68,8,0.25,9.044144247483082
21,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,5,,,,rest,,,,,,,,0.1875,9.926499783822894
22,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,5,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,10.588266436077754
23,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,5,,,,note,C5,C,C,0,5,72,0,0.1875,10.80565774042558
24,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,5,,,,note,C5,C,C,0,5,72,0,0.0625,11.457831653469059
25,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,note,C5,C,C,0,5,72,0,0.25,11.675222957816885
26,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,note,C5,C,C,0,5,72,0,0.125,12.532363365987148
27,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,rest,,,,,,,,0.0625,12.96093357007228
28,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,note,C5,C,C,0,5,72,0,0.0625,13.172201770827774
29,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.1875,13.383469971583269
30,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,6,,,,note,Db5,Db,D,-1,5,73,1,0.0625,14.017274573849754
31,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,7,,,,note,C5,C,C,0,5,72,0,0.25,14.228542774605248
32,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,7,,,,rest,,,,,,,,0.1875,15.061876107938582
33,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,7,,,,note,C5,C,C,0,5,72,0,0.0625,15.678312775235383
34,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,7,,,,note,C5,C,C,0,5,72,0,0.1875,15.883791664334318
35,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,7,,,,note,C5,C,C,0,5,72,0,0.0625,16.50022833163112
36,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,8,,,,note,C5,C,C,0,5,72,0,0.25,16.705707220730055
37,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,8,,,,note,C5,C,C,0,5,72,0,0.1875,17.516520222927358
38,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,8,,,,note,C5,C,C,0,5,72,0,0.0625,18.124629974575335
39,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.1_-_Untreu,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.1875,18.324629974575334
