,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,1,-1,major,0,note,A4,A,A,0,4,69,9,0.125,0
1,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,2,,,,note,C5,C,C,0,5,72,0,0.25,0.3750009375023438
2,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,2,,,,note,F4,F,F,0,4,65,5,0.1875,1.1250028125070315
3,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,2,,,,note,G4,G,G,0,4,67,7,0.0625,1.6875042187605471
4,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,3,,,,note,G4,G,G,0,4,67,7,0.25,1.875004687511719
5,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,3,,,,note,A4,A,A,0,4,69,9,0.125,2.6250065625164067
6,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,3,,,,note,A4,A,A,0,4,69,9,0.125,3.0000075000187505
7,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,4,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,3.3750084375210943
8,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,4,,,,note,A4,A,A,0,4,69,9,0.125,3.750009375023438
9,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,4,,,,note,D5,D,D,0,5,74,2,0.1875,4.125010312525782
10,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,4,,,,note,C5,C,C,0,5,72,0,0.0625,4.687511718779297
11,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,5,,,,note,C5,C,C,0,5,72,0,0.25,4.875012187530469
12,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,5,,,,note,B4,B,B,0,4,71,11,0.125,5.625014062535157
13,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,5,,,,note,B4,B,B,0,4,71,11,0.125,6.000015000037501
14,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,6,,,,note,C5,C,C,0,5,72,0,0.25,6.375015937539845
15,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,7.125017812544533
16,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,6,,,,note,A4,A,A,0,4,69,9,0.125,7.500018750046877
17,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,7,,,,note,A4,A,A,0,4,69,9,0.25,7.875019687549221
18,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,7,,,,note,G4,G,G,0,4,67,7,0.125,8.62502156255391
19,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,7,,,,note,F4,F,F,0,4,65,5,0.125,9.000022500056254
20,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,8,,,,note,C5,C,C,0,5,72,0,0.125,9.375023437558598
21,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,9.750024375060942
22,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,8,,,,note,D4,D,D,0,4,62,2,0.1875,10.125025312563286
23,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,8,,,,note,E4,E,E,0,4,64,4,0.0625,10.687526718816802
24,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,9,,,,note,E4,E,E,0,4,64,4,0.375,10.875027187567973
25,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,9,,,,note,A4,A,A,0,4,69,9,0.125,12.000030000075004
26,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,10,,,,note,A4,A,A,0,4,69,9,0.25,12.375030937577348
27,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,10,,,,note,D4,D,D,0,4,62,2,0.1875,13.125032812582036
28,data\scores\Cornelius\Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling.mxl,Cornelius,Cornelius_Peter_-_6_Lieder_Op.1_No.4_-_Schmetterling,10,,,,note,E4,E,E,0,4,64,4,0.0625,13.687534218835552
