,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0
1,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,1,-6,major,0,note,Db5,Db,D,-1,5,73,1,0.125,0.15625
2,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,1,-6,major,0,note,Ab4,Ab,A,-1,4,68,8,0.125,0.46875
3,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,1,-6,major,0,rest,,,,,,,,0.0625,0.0
4,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,1,-6,major,0,rest,,,,,,,,0.25,0.15625
5,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Cb5,Cb,C,-1,5,83,11,0.125,0.78125
6,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,rest,,,,,,,,0.125,1.09375
7,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.25,1.40625
8,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,1.40625
9,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,2.03125
10,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.125,2.34375
11,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0,0
12,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.08333333333333333,2.65625
13,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.08333333333333333,2.8645833333333335
14,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,F4,F,F,0,4,65,5,0.08333333333333333,3.072916666666667
15,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Cb4,Cb,C,-1,4,71,11,0.25,2.0312500000000004
16,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,F4,F,F,0,4,65,5,0.25,2.0312500000000004
17,data\scores\Chaminade\Danse_creole_Op._94__Cecile_Chaminade.mxl,Chaminade,Danse_creole_Op._94__Cecile_Chaminade,2,,,,note,Cb4,Cb,C,-1,4,71,11,0.25,2.6562500000000004
