,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Db5,Db,D,-1,5,73,1,0.25,0
1,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Db5,Db,D,-1,5,73,1,0.125,0.9090909090909091
2,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.3636363636363635
3,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Gb4,Gb,G,-1,4,66,6,0.0625,1.5909090909090908
4,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Eb4,Eb,E,-1,4,63,3,0.125,1.8181818181818181
5,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Gb4,Gb,G,-1,4,66,6,0.0625,2.2727272727272725
6,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.4999999999999996
7,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,1,-6,major,0,rest,,,,,,,,0.25,-4.440892098500626e-16
8,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Db5,Db,D,-1,5,73,1,0.125,2.7272727272727266
9,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,3.181818181818181
10,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.0625,3.4090909090909083
11,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,3.6363636363636354
12,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.0625,4.09090909090909
13,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,4.3181818181818175
14,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.125,4.545454545454545
15,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Gb4,Gb,G,-1,4,66,6,0.0625,4.999999999999999
16,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.0625,5.227272727272727
17,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,rest,,,,,,,,0.5,2.727272727272727
18,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,rest,,,,,,,,0.125,4.545454545454545
19,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Gb3,Gb,G,-1,3,54,6,0.125,4.999999999999999
20,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Cb4,Cb,C,-1,4,71,11,0.125,4.999999999999999
21,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,rest,,,,,,,,0.25,2.727272727272726
22,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,rest,,,,,,,,0.25,3.6363636363636354
23,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,rest,,,,,,,,0.125,4.545454545454544
24,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Cb3,Cb,C,-1,3,59,11,0.125,4.999999999999998
25,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,2,,,,note,Eb3,Eb,E,-1,3,51,3,0.125,4.999999999999998
26,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Gb4,Gb,G,-1,4,66,6,0.125,5.454545454545452
27,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,F4,F,F,0,4,65,5,0.0625,5.9090909090909065
28,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.0625,6.136363636363634
29,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Db4,Db,D,-1,4,61,1,0.5,6.3636363636363615
30,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Gb3,Gb,G,-1,3,54,6,0.75,5.454545454545453
31,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Bb3,Bb,B,-1,3,58,10,0.75,5.454545454545453
32,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Gb2,Gb,G,-1,2,42,6,0.75,5.454545454545453
33,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,3,,,,note,Db3,Db,D,-1,3,49,1,0.75,5.454545454545453
34,..\data\scores\Debussy_Claude\Debussy_-_La_fille_aux_cheveux_de_lin.mxl,Debussy_Claude,Debussy_-_La_fille_aux_cheveux_de_lin,4,,,,note,Db4,Db,D,-1,4,61,1,0.5,8.18181818181818
