,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,G#5,G#,G,1,5,80,8,0.25,0
1,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,G#5,G#,G,1,5,80,8,0.125,1.5
2,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.0625,2.25
3,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,E5,E,E,0,5,76,4,0.0625,2.625
4,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,D5,D,D,0,5,74,2,0.125,3.0
5,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,E5,E,E,0,5,76,4,0.041666666666666664,3.75
6,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,D5,D,D,0,5,74,2,0.041666666666666664,4.0
7,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.041666666666666664,4.25
8,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,B4,B,B,0,4,71,11,0.125,4.5
9,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,note,B5,B,B,0,5,83,11,0.125,5.25
10,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,1,3,major,0,rest,,,,,,,,0.25,0.0
11,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,note,G#5,G#,G,1,5,80,8,0.5,6.0
12,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,note,G#5,G#,G,1,5,80,8,0.125,9.0
13,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,note,F#5,F#,F,1,5,78,6,0.0625,9.75
14,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,note,E5,E,E,0,5,76,4,0.0625,10.125
15,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,note,D5,D,D,0,5,74,2,0.25,10.5
16,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,2,,,,rest,,,,,,,,0.25,6.0
17,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,note,D5,D,D,0,5,74,2,0.25,12.0
18,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,note,E5,E,E,0,5,76,4,0.0,0
19,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,note,D5,D,D,0,5,74,2,0.5,13.5
20,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,note,F5,F,F,0,5,77,5,0.0,0
21,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,note,D5,D,D,0,5,74,2,0.25,16.5
22,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,3,,,,rest,,,,,,,,0.25,12.0
23,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,4,,,,note,D5,D,D,0,5,74,2,0.25,18.0
24,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,4,,,,note,G5,G,G,0,5,79,7,0.0,0
25,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,4,,,,note,F5,F,F,0,5,77,5,0.0,0
26,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,4,,,,note,D5,D,D,0,5,74,2,0.75,19.5
27,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,4,,,,rest,,,,,,,,0.25,18.0
28,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,5,,,,note,C#5,C#,C,1,5,73,1,0.09375,24.0
29,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,5,,,,note,B4,B,B,0,4,71,11,0.03125,24.45
30,data\scores\Debussy\Debussy_113_5.0_0.0.mxl,Debussy,Debussy_113_5.0_0.0,5,,,,note,C#5,C#,C,1,5,73,1,0.09375,24.599999999999998
